player,position,nfl_team,ecr,games,vendor_weekly_proj,vendor_season_points,scored_points_league_rules,pass_yd,pass_td,interception,rush_yd,rush_td,reception,rec_yd,rec_td,fumble_lost,two_pt
Jahmyr Gibbs,RB,DET,RB1,17.0,19.41,338.4,328.4,0.0,0.0,0.0,1223.0,13.0,77.0,616.0,5.0,1.0,0.0
Bijan Robinson,RB,ATL,RB2,17.0,18.04,341.3,331.3,0.0,0.0,0.0,1478.0,7.0,79.0,820.0,4.0,3.0,1.0
Ja'Marr Chase,WR,CIN,WR1,16.0,16.3,261.1,251.1,0.0,0.0,0.0,14.0,0.0,125.0,1412.0,8.0,1.0,0.0
Puka Nacua,WR,LAR,WR2,16.0,16.7,330.5,310.5,0.0,0.0,0.0,105.0,1.0,129.0,1715.0,10.0,1.0,0.0
Jonathan Taylor,RB,IND,RB3,17.0,16.24,359.3,339.3,0.0,0.0,0.0,1585.0,18.0,46.0,378.0,2.0,1.0,1.0
Christian McCaffrey,RB,SF,RB4,17.0,16.96,365.6,365.6,0.0,0.0,0.0,1202.0,10.0,102.0,924.0,7.0,0.0,0.0
Amon-Ra St. Brown,WR,DET,WR4,17.0,15.7,270.5,265.5,0.0,0.0,0.0,9.0,0.0,117.0,1401.0,11.0,0.0,0.0
Jaxon Smith-Njigba,WR,SEA,WR3,17.0,15.68,310.4,300.4,0.0,0.0,0.0,36.0,0.0,119.0,1793.0,10.0,1.0,0.0
James Cook III,RB,BUF,RB8,17.0,14.24,295.7,285.7,0.0,0.0,0.0,1621.0,12.0,33.0,291.0,2.0,3.0,0.0
Saquon Barkley,RB,PHI,RB7,16.0,14.46,218.8,213.8,0.0,0.0,0.0,1140.0,7.0,37.0,273.0,2.0,1.0,1.0
CeeDee Lamb,WR,DAL,WR5,14.0,13.98,163.4,163.4,0.0,0.0,0.0,2.0,0.0,75.0,1077.0,3.0,0.0,0.0
Kenneth Walker III,RB,KC,RB13,17.0,13.16,176.4,176.4,0.0,0.0,0.0,1027.0,5.0,31.0,282.0,0.0,0.0,0.0
Justin Jefferson,WR,MIN,WR6,17.0,13.7,159.5,159.5,0.0,0.0,0.0,7.0,0.0,84.0,1048.0,2.0,0.0,0.0
Chase Brown,RB,CIN,RB9,17.0,14.18,248.1,248.1,0.0,0.0,0.0,1019.0,6.0,69.0,437.0,5.0,0.0,1.0
De'Von Achane,RB,MIA,RB5,16.0,15.59,294.3,289.3,0.0,0.0,0.0,1350.0,8.0,67.0,488.0,4.0,0.0,0.0
Omarion Hampton,RB,LAC,RB11,9.0,14.11,119.7,119.7,0.0,0.0,0.0,545.0,4.0,32.0,192.0,1.0,0.0,0.0
Derrick Henry,RB,BAL,RB10,17.0,14.81,287.0,272.0,0.0,0.0,0.0,1595.0,16.0,15.0,150.0,0.0,3.0,0.0
Nico Collins,WR,HOU,WR7,15.0,13.38,190.7,190.7,0.0,0.0,0.0,15.0,1.0,71.0,1117.0,6.0,1.0,1.0
Brock Bowers,TE,LV,TE1,12.0,12.11,144.2,144.2,0.0,0.0,0.0,2.0,0.0,64.0,680.0,7.0,0.0,1.0
Drake London,WR,ATL,WR9,12.0,12.88,172.9,167.9,0.0,0.0,0.0,0.0,0.0,68.0,919.0,7.0,1.0,1.0
Ashton Jeanty,RB,LV,RB6,17.0,13.6,217.6,217.6,0.0,0.0,0.0,975.0,5.0,55.0,346.0,5.0,1.0,0.0
A.J. Brown,WR,NE,WR11,15.0,12.13,181.3,181.3,0.0,0.0,0.0,0.0,0.0,78.0,1003.0,7.0,0.0,0.0
George Pickens,WR,DAL,WR10,17.0,12.19,250.4,245.4,0.0,0.0,0.0,0.0,0.0,93.0,1429.0,9.0,0.0,1.0
Malik Nabers,WR,NYG,WR27,4.0,11.71,53.1,48.1,0.0,0.0,0.0,0.0,0.0,18.0,271.0,2.0,0.0,0.0
Chris Olave,WR,NO,WR8,16.0,12.3,219.0,218.0,0.0,0.0,1.0,-3.0,0.0,100.0,1163.0,9.0,0.0,0.0
DeVonta Smith,WR,PHI,WR14,17.0,12.03,168.3,163.3,0.0,0.0,0.0,0.0,0.0,77.0,1008.0,4.0,0.0,0.0
Kyren Williams,RB,LAR,RB14,17.0,12.69,245.3,245.3,0.0,0.0,0.0,1252.0,10.0,36.0,281.0,3.0,2.0,0.0
Tee Higgins,WR,CIN,WR13,15.0,11.87,182.1,182.1,0.0,0.0,0.0,0.0,0.0,59.0,846.0,11.0,0.0,1.0
Trey McBride,TE,ARI,TE2,17.0,11.36,252.9,252.9,0.0,0.0,0.0,0.0,0.0,126.0,1239.0,11.0,0.0,0.0
Breece Hall,RB,NYJ,RB17,16.0,13.23,189.66,189.66,4.0,1.0,0.0,1065.0,4.0,36.0,350.0,1.0,2.0,0.0
Josh Allen,QB,BUF,QB2,17.0,19.56,379.62,364.62,3668.0,25.0,10.0,579.0,14.0,0.0,0.0,0.0,3.0,1.0
Jeremiyah Love,RB,ARI,RB22,,12.2,0.0,0.0,,,,,,,,,,
Zay Flowers,WR,BAL,WR15,17.0,12.48,200.3,200.3,0.0,0.0,0.0,62.0,1.0,86.0,1211.0,5.0,3.0,0.0
Jaylen Waddle,WR,DEN,WR19,16.0,11.05,162.12,162.12,8.0,0.0,0.0,28.0,0.0,64.0,910.0,6.0,0.0,0.0
Javonte Williams,RB,DAL,RB12,16.0,13.59,225.3,225.3,0.0,0.0,0.0,1201.0,11.0,35.0,137.0,2.0,2.0,0.0
Rashee Rice,WR,KC,WR12,8.0,11.39,123.6,123.6,0.0,0.0,0.0,20.0,1.0,53.0,571.0,5.0,0.0,1.0
Colston Loveland,TE,CHI,TE3,16.0,10.35,136.1,136.1,0.0,0.0,0.0,-2.0,0.0,58.0,713.0,6.0,0.0,0.0
Tetairoa McMillan,WR,CAR,WR16,17.0,11.71,176.4,176.4,0.0,0.0,0.0,0.0,0.0,70.0,1014.0,7.0,1.0,0.0
Ladd McConkey,WR,LAC,WR18,16.0,10.93,147.9,147.9,0.0,0.0,0.0,0.0,0.0,66.0,789.0,6.0,0.0,0.0
Garrett Wilson,WR,NYJ,WR17,7.0,10.94,81.5,81.5,0.0,0.0,0.0,0.0,0.0,36.0,395.0,4.0,0.0,0.0
Travis Etienne Jr.,RB,NO,RB19,17.0,12.36,235.9,235.9,0.0,0.0,0.0,1107.0,7.0,36.0,292.0,6.0,0.0,0.0
D'Andre Swift,RB,CHI,RB16,16.0,11.28,211.6,211.6,0.0,0.0,0.0,1087.0,9.0,34.0,299.0,1.0,2.0,0.0
Emeka Egbuka,WR,TB,WR21,17.0,10.45,169.2,164.2,0.0,0.0,0.0,9.0,0.0,63.0,938.0,6.0,0.0,1.0
Josh Jacobs,RB,GB,RB15,15.0,12.2,219.1,219.1,0.0,0.0,0.0,929.0,13.0,36.0,282.0,1.0,2.0,0.0
Luther Burden III,WR,CHI,WR28,15.0,10.28,104.4,104.4,0.0,0.0,0.0,37.0,0.0,47.0,652.0,2.0,0.0,0.0
Terry McLaurin,WR,WAS,WR22,10.0,10.35,95.2,95.2,0.0,0.0,0.0,0.0,0.0,38.0,582.0,3.0,0.0,0.0
Tyler Warren,TE,IND,TE4,17.0,10.01,150.5,150.5,0.0,0.0,0.0,8.0,1.0,76.0,817.0,4.0,0.0,0.0
DJ Moore,WR,BUF,WR34,17.0,9.47,145.18,145.18,2.0,1.0,0.0,79.0,1.0,50.0,682.0,6.0,1.0,0.0
Cam Skattebo,RB,NYG,RB18,8.0,12.28,115.7,115.7,0.0,0.0,0.0,410.0,5.0,24.0,207.0,2.0,1.0,1.0
Lamar Jackson,QB,BAL,QB3,13.0,19.58,221.86,214.86,2549.0,21.0,7.0,349.0,2.0,0.0,0.0,0.0,3.0,1.0
Rome Odunze,WR,CHI,WR26,12.0,9.77,124.1,124.1,0.0,0.0,0.0,0.0,0.0,44.0,661.0,6.0,0.0,0.0
Jameson Williams,WR,DET,WR24,17.0,10.51,187.4,187.4,0.0,0.0,0.0,12.0,0.0,65.0,1117.0,7.0,0.0,0.0
Bucky Irving,RB,TB,RB21,10.0,11.02,123.5,123.5,0.0,0.0,0.0,588.0,1.0,30.0,277.0,3.0,1.0,0.0
Christian Watson,WR,GB,WR23,10.0,10.24,114.9,114.9,0.0,0.0,0.0,3.0,0.0,35.0,611.0,6.0,0.0,0.0
Bhayshul Tuten,RB,JAX,RB25,15.0,10.36,83.6,83.6,0.0,0.0,0.0,307.0,5.0,10.0,79.0,2.0,1.0,0.0
Parker Washington,WR,JAX,WR29,16.0,9.16,155.7,143.7,0.0,0.0,0.0,0.0,0.0,58.0,847.0,5.0,0.0,0.0
Davante Adams,WR,LAR,WR20,14.0,10.71,192.9,192.9,0.0,0.0,0.0,0.0,0.0,60.0,789.0,14.0,0.0,0.0
Quinshon Judkins,RB,CLE,RB23,14.0,10.95,156.8,156.8,0.0,0.0,0.0,827.0,7.0,26.0,171.0,0.0,0.0,1.0
David Montgomery,RB,HOU,RB20,17.0,11.74,159.92,154.92,3.0,1.0,0.0,716.0,8.0,24.0,192.0,0.0,1.0,1.0
Jadarian Price,RB,SEA,RB28,,10.31,0.0,0.0,,,,,,,,,,
Mike Evans,WR,SF,WR25,8.0,9.92,69.8,69.8,0.0,0.0,0.0,0.0,0.0,30.0,368.0,3.0,0.0,0.0
Drake Maye,QB,NE,QB8,17.0,17.23,364.46,351.46,4394.0,31.0,8.0,450.0,4.0,1.0,2.0,0.0,3.0,2.0
Jayden Daniels,QB,WAS,QB7,7.0,17.58,117.28,114.28,1262.0,8.0,3.0,278.0,2.0,0.0,0.0,0.0,2.0,1.0
Joe Burrow,QB,CIN,QB1,8.0,18.97,139.46,134.46,1809.0,17.0,5.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
TreVeyon Henderson,RB,NE,RB30,17.0,8.83,188.7,188.7,0.0,0.0,0.0,911.0,9.0,35.0,221.0,1.0,1.0,0.0
Jalen Hurts,QB,PHI,QB4,16.0,20.27,305.06,299.06,3224.0,25.0,6.0,421.0,8.0,0.0,0.0,0.0,4.0,0.0
