pick_overall,draft_class,draft_class_label,round,slot_in_round,owner,player,position,college,nfl_status_sheet,notes
1,1,oldest (~2023-24 class),1,1,Travis,Marvin Harrison Jr.,WR,Ohio State,In college (per sheet),verify — likely stale
2,1,oldest (~2023-24 class),1,2,Coby,Braelon Allen,RB,Wisconsin,In college (per sheet),verify
3,1,oldest (~2023-24 class),1,3,Brandon,Jordan Addison,WR,USC,In NFL,2 games played
4,1,oldest (~2023-24 class),1,4,Paul,Josh Downs,WR,UNC,In NFL,1 game played; legacy owner Paul
5,1,oldest (~2023-24 class),1,5,Sam,Bryce Young,QB,Alabama,In NFL,1 game played
6,1,oldest (~2023-24 class),1,6,Brandon,Brock Bowers,TE,Georgia,In college (per sheet),confirmed stale — active NFL starter
7,1,oldest (~2023-24 class),1,7,Ryan J,Sean Tucker,RB,Syracuse,In NFL,1 game played
8,1,oldest (~2023-24 class),1,8,Coby,Quinshon Judkins,RB,Ole Miss,In college (per sheet),verify
9,1,oldest (~2023-24 class),1,9,Jason,Nicholas Singleton,RB,PSU,In college (per sheet),verify
10,1,oldest (~2023-24 class),1,10,Coby,Jalin Hyatt,WR,Tennessee,In NFL,1 game played
11,1,oldest (~2023-24 class),1,11,Shane,Darnell Washington,TE,Georgia,In NFL,1 game played
12,1,oldest (~2023-24 class),1,12,Jason,Emeka Egbuka,WR,Ohio State,In college (per sheet),verify
13,1,oldest (~2023-24 class),2,1,Brandon,Blake Corum,RB,Michigan,In college (per sheet),verify
14,1,oldest (~2023-24 class),2,2,James,Will Shipley,RB,Clemson,In college (per sheet),verify
15,1,oldest (~2023-24 class),2,3,Paul,Raheem Sanders,RB,Arkansas,In college (per sheet),legacy owner Paul
16,1,oldest (~2023-24 class),2,4,Jason,Luther Burden,WR,Mizzou,In college (per sheet),verify
17,1,oldest (~2023-24 class),2,5,Sam,Jase McClellan,RB,Alabama,In college (per sheet),verify
18,1,oldest (~2023-24 class),2,6,Paul,Donovan Edwards,RB,Michigan,In college (per sheet),legacy owner Paul
19,1,oldest (~2023-24 class),2,7,Evan,Deuce Vaughn,RB,KSU,In NFL,
20,1,oldest (~2023-24 class),2,8,Paul,Troy Franklin,WR,Oregon,In college (per sheet),legacy owner Paul
21,1,oldest (~2023-24 class),2,9,Brandon,Branson Robinson,RB,Georgia,In college (per sheet),verify
22,1,oldest (~2023-24 class),2,10,Coby,Ja'Corey Brooks,WR,Alabama,In college (per sheet),verify
23,1,oldest (~2023-24 class),2,11,Shane,Jermaine Burton,WR,Alabama,In college (per sheet),verify
24,1,oldest (~2023-24 class),2,12,CJ,Parker Washington,WR,Penn State,In college (per sheet),verify
25,1,oldest (~2023-24 class),3,1,Jason,Evan Stewart,WR,Texas A&M,In college (per sheet),verify
26,1,oldest (~2023-24 class),3,2,Ryan B,Israel Abanikanda,RB,Pitt,In NFL,legacy owner Ryan B
