owner,player,position,college,notes
Sam,Jojo Earle,WR,UNLV (transferred from TCU/Alabama),confirmed still in college - senior 2026 season
Sam,Isaiah Bond,WR,Texas,CONFIRMED ALREADY DEBUTED - signed Cleveland Browns 2025 undrafted became starter - needs conversion
Sam,Jordan James,RB,Oregon,CONFIRMED ALREADY DEBUTED - drafted 5th round 2025 by SF 49ers active roster - needs conversion
Sam,Fernando Mendoza,QB,Indiana,CONFIRMED ALREADY DEBUTED - drafted #1 overall 2026 by Las Vegas Raiders - needs conversion
Sam,Nyck Harbor,WR,South Carolina,confirmed still in college - returned for senior 2026 season - 2027 draft prospect proj 2nd-4th round
Sam,Eugene Wilson III,WR,Florida (transferred to LSU),confirmed still in college - 2 years eligibility remain - proj Day 3 2027
Brandon,Jeremiah Smith,WR,Ohio State,status unknown - verify
Brandon,Ryan Wingo,WR,Texas,status unknown - verify
Brandon,Jadan Baugh,RB,Florida,status unknown - verify
Brandon,LJ Martin,RB,BYU,status unknown - verify
Coby,Alton McCaskill,RB,Sam Houston (transferred Colorado),from sheet: Sam Houston/Colorado — verify status
Coby,Cam Coleman,WR,Auburn,status unknown - verify
Coby,Harlem Berry,RB,LSU,status unknown - verify
Coby,Trey'Dez Green,TE,LSU,status unknown - verify
Coby,Kevin Concepcion,WR,NC State,status unknown - verify
Coby,Jordyn Tyson,WR,Arizona State,status unknown - verify
Brad,Jaydn Ott,RB,Cal,status unknown - verify
Brad,Donovan Edwards,RB,Michigan,status unknown - verify
Brad,Branson Robinson,RB,Georgia,status unknown - verify
Brad,Makai Lemon,WR,USC,status unknown - verify
Brad,Ahmad Hardy,RB,Mizzou,status unknown - verify
Brad,Chris Bell,WR,Louisville,status unknown - verify
Brad,Jordan Marshall,RB,Michigan,status unknown - verify
Brad,Julian Sayin,QB,Ohio State,status unknown - verify
Brad,Emmett Johnson,RB,Nebraska,status unknown - verify
Reid,Trevor Etienne,RB,Florida,status unknown - verify - name suggests possible confusion with NFL RB Trey Etienne double check
Reid,Kaytron Allen,RB,Penn State,status unknown - verify
Reid,Roderick Robinson II,RB,Georgia,status unknown - verify
Reid,Cedric Baxter Jr,RB,Texas,status unknown - verify
Reid,Le'Veon Moss,RB,Texas A&M,status unknown - verify
Reid,Arch Manning,QB,Texas,status unknown - verify - high profile verify carefully
Reid,Zachariah Branch,WR,USC,status unknown - verify
Reid,Carnell Tate,WR,Ohio State,status unknown - verify
Reid,Kenyon Sadiq,TE,Oregon,status unknown - verify
Reid,Jonah Coleman,RB,Washington,status unknown - verify
Evan,Hykeem Williams,WR,Colorado (transferred FSU),from sheet: Colorado/FSU — verify status
Evan,Malachi Coleman,WR,Nebraska,status unknown - verify
Evan,Jerrick Gibson,RB,Texas,status unknown - verify
Evan,Quincy Porter,WR,Ohio State,status unknown - verify
Evan,Jordon Davison,RB,Oregon,status unknown - verify
James,Ryan Williams,WR,Alabama,status unknown - verify
James,Nic Anderson,WR,Oklahoma,status unknown - verify
James,Dakorien Moore,WR,Oregon,status unknown - verify
James,Bo Jackson,RB,Ohio State,status unknown - verify
James,Malachi Toney,WR,Miami,status unknown - verify
James,Kewan Lacy,RB,Ole Miss,status unknown - verify
Ryan J,Adam Randall,WR,Clemson,status unknown - verify
Ryan J,Ja'Corey Brooks,WR,Alabama,status unknown - verify
Ryan J,Oscar Delp,TE,Georgia,status unknown - verify
Ryan J,Darius Taylor,RB,Minnesota,status unknown - verify
Ryan J,Eric Singleton Jr,WR,Auburn,status unknown - verify
Ryan J,Isaac Brown,RB,Louisville,status unknown - verify
Ryan J,Duce Robinson,WR,Florida State,status unknown - verify
CJ,Germie Bernard,WR,Alabama,status unknown - verify
CJ,Hollywood Smothers,RB,NC State,status unknown - verify
CJ,James Peoples,RB,Penn State,status unknown - verify
Jason,Nicholas Singleton,RB,Penn State,status unknown - verify
Jason,Evan Stewart,WR,Texas A&M,status unknown - verify
Jason,Johntay Cook,WR,Texas,status unknown - verify
Jason,Justice Haynes,RB,Alabama,status unknown - verify
Jason,Antonio Williams,WR,Clemson,status unknown - verify
Jason,Micah Hudson,WR,Texas Tech,status unknown - verify
Jason,T.J. Moore,WR,Clemson,status unknown - verify
Jason,Dallas Wilson,WR,Florida,status unknown - verify
Jason,Vernell Brown,WR,Florida,status unknown - verify
Shane,Jeremiyah Love,RB,Notre Dame,status unknown - verify
Shane,Jadarian Price,RB,Notre Dame,status unknown - verify
Shane,Elijah Sarratt,WR,Indiana,status unknown - verify
Shane,Malachi Fields,WR,Notre Dame,status unknown - verify
Travis,Perry Thompson,WR,Auburn,status unknown - verify
Travis,Mike Matthews,WR,Tennessee,status unknown - verify
Travis,Jurrion Dickey,WR,Oregon,status unknown - verify
Travis,Denzel Boston,WR,Washington,status unknown - verify
Travis,Jalen Royals,WR,Utah State,status unknown - verify
Travis,Quinton Martin Jr,RB,Penn State,status unknown - verify
Travis,Makhi Hughes,RB,Tulane,status unknown - verify
Travis,Nick Marsh,WR,Michigan State,status unknown - verify
Travis,Chris Brazzell II,WR,Tennessee,status unknown - verify
Travis,Ja'Kobi Lane,WR,USC,status unknown - verify
Travis,Jeremiah Koger,WR,South Florida,status unknown - verify
Travis,Caleb Hawkins,RB,North Texas,status unknown - verify
