player,projected_nfl_draft_round,projected_nfl_draft_year,projection_confidence,projection_source,talent_notes
Fernando Mendoza,1,2026,confirmed,2026 NFL Draft #1 overall to LV,Heisman winner; converted to NFL — rights value enormous at $1 fee
Isaiah Bond,UDFA,2025,confirmed,nflverse 2025 CLE 15 games,Undrafted 2025; starter-level WR production
Jordan James,5,2025,high,nflverse draft rd 5 SF,On SF roster; 0 reg-season games in nflverse 2025 — verify debut trigger
Jojo Earle,6,2026,medium,manual,Senior 2026 at UNLV
Nyck Harbor,3,2027,medium,manual,2nd-4th round range per sheet notes
Eugene Wilson III,6,2027,low,manual,Day 3 projection 2027
Jeremiah Smith,1,2026,high,consensus_mock,Elite Ohio State WR — verify 2026 draft declaration status
Arch Manning,1,2027,medium,consensus_mock,High-profile Texas QB; still in college 2026
Julian Sayin,2,2026,medium,consensus_mock,Ohio State QB prospect
Jeremiyah Love,2,2026,high,consensus_mock,Notre Dame RB — top college prospect
Jordyn Tyson,1,2026,high,consensus_mock,Arizona State WR
Carnell Tate,1,2026,high,consensus_mock,Ohio State WR
Zachariah Branch,3,2026,medium,consensus_mock,USC WR
Ryan Williams,1,2026,high,consensus_mock,Alabama WR
Nicholas Singleton,3,2026,medium,consensus_mock,Penn State RB
Trevor Etienne,UDFA,2025,confirmed,nflverse 2025 CAR 17 games,DEBUTED — verify this is Reid's prospect not a namesake
