"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","281.4","1415.5","14.1","71.7","583.8","4.1","1.1","342.8"
"Bijan Robinson","ATL","RB2","285.8","1391.1","8.8","76.9","705.6","3.5","1.8","318.2"
"Christian McCaffrey","SF","RB3","269.7","1093.6","8.7","78.6","693.0","4.6","1.1","295.5"
"Jonathan Taylor","IND","RB4","326.9","1505.8","12.9","43.8","348.0","1.5","1.7","289.9"
"Puka Nacua","LAR","WR1","12.9","85.0","1.3","117.0","1539.0","9.0","1.0","281.0"
"Ja'Marr Chase","CIN","WR2","3.0","17.0","0.0","121.3","1511.4","10.6","1.0","275.2"
"Jaxon Smith-Njigba","SEA","WR3","5.5","30.4","0.1","110.9","1567.9","9.5","1.1","270.5"
"Derrick Henry","BAL","RB5","316.0","1577.2","13.4","18.1","175.0","0.7","1.7","265.8"
"Amon-Ra St. Brown","DET","WR4","3.1","11.8","0.0","117.5","1391.1","10.5","0.4","261.3"
"De'Von Achane","MIA","RB6","238.4","1200.8","6.0","65.5","491.8","4.0","1.0","260.0"
"James Cook III","BUF","RB7","287.8","1405.6","10.3","33.3","283.5","1.9","2.4","254.1"
"Chase Brown","CIN","RB8","238.7","1036.6","7.8","64.1","427.4","3.9","1.1","246.7"
"Saquon Barkley","PHI","RB9","295.8","1298.4","8.2","42.1","330.6","2.1","1.0","243.9"
"Kenneth Walker III","KC","RB10","267.2","1207.1","8.7","45.8","352.7","1.2","0.9","236.3"
"Ashton Jeanty","LV","RB11","257.6","1038.0","7.3","56.5","399.3","3.0","1.1","231.9"
"Omarion Hampton","LAC","RB12","243.7","1035.6","9.5","49.9","342.4","1.9","1.0","228.9"
"Drake London","ATL","WR5","0.0","0.0","0.0","98.4","1272.9","8.8","1.0","227.1"
"Jeremiyah Love","ARI","RB13","236.6","1049.0","6.9","54.6","428.3","2.1","2.2","224.3"
"CeeDee Lamb","DAL","WR6","2.4","12.6","0.0","97.2","1294.6","7.5","0.3","224.0"
"Javonte Williams","DAL","RB14","263.8","1195.7","10.7","33.6","193.9","1.2","1.6","223.9"
"Breece Hall","NYJ","RB15","248.8","1113.1","6.2","46.4","404.5","2.2","1.7","222.3"
"Justin Jefferson","MIN","WR7","1.3","5.6","0.0","98.8","1310.8","6.8","0.3","221.4"
"Rashee Rice","KC","WR8","5.8","25.9","0.9","96.5","1069.2","9.6","0.6","219.2"
"Kyren Williams","LAR","RB16","235.5","1095.7","9.7","33.5","237.0","2.2","1.5","218.6"
"Chris Olave","NO","WR9","0.3","0.0","0.0","95.7","1196.0","8.2","0.3","216.1"
"Travis Etienne Jr.","NO","RB17","253.2","1069.6","5.4","45.7","358.3","3.0","1.0","214.2"
"A.J. Brown","NE","WR10","0.0","0.0","0.0","87.7","1233.5","7.7","0.3","212.7"
"Cam Skattebo","NYG","RB18","237.4","989.0","7.9","43.9","342.9","2.2","1.6","212.6"
"George Pickens","DAL","WR11","0.3","-0.3","0.0","82.3","1200.4","8.4","0.4","210.6"
"Nico Collins","HOU","WR12","1.4","8.3","0.4","82.6","1209.7","7.6","0.8","209.1"
"D'Andre Swift","CHI","RB19","232.5","1050.1","8.0","35.2","303.8","1.0","1.0","205.5"
"Trey McBride","ARI","TE1","0.0","0.0","0.0","108.9","1068.6","6.8","0.2","201.5"
"Zay Flowers","BAL","WR13","9.9","58.8","0.5","81.2","1156.6","6.5","1.5","201.0"
"Malik Nabers","NYG","WR14","2.8","8.3","0.1","82.1","1079.6","8.4","0.4","199.8"
"Quinshon Judkins","CLE","RB20","289.8","1105.7","8.1","33.0","223.5","0.6","0.9","199.8"
"Bucky Irving","TB","RB21","252.7","1004.7","5.8","39.6","333.0","2.2","1.0","199.7"
"Brock Bowers","LV","TE2","0.0","0.0","0.0","96.6","1023.0","7.5","0.2","195.4"
"Bhayshul Tuten","JAC","RB22","239.4","980.2","8.6","29.3","222.8","2.1","2.2","194.9"
"Garrett Wilson","NYJ","WR15","1.1","4.3","0.0","96.4","1095.5","6.4","1.1","194.8"
"Tetairoa McMillan","CAR","WR16","0.0","0.0","0.0","81.1","1145.1","6.6","0.9","193.1"
"DeVonta Smith","PHI","WR17","0.0","0.0","0.0","87.8","1136.5","6.0","0.3","193.1"
"Emeka Egbuka","TB","WR18","1.4","7.3","0.0","73.2","1096.9","7.5","0.3","191.6"
"Davante Adams","LAR","WR19","0.0","0.0","0.0","68.9","925.2","10.2","0.2","187.8"
"Tee Higgins","CIN","WR20","0.0","0.0","0.0","70.8","965.3","9.1","0.2","186.2"
"Jameson Williams","DET","WR21","7.7","42.4","0.5","64.5","1065.8","6.6","0.2","185.2"
"David Montgomery","HOU","RB23","235.7","978.2","7.8","30.9","228.7","0.5","1.5","182.9"
"Ladd McConkey","LAC","WR22","0.0","0.0","0.0","79.2","1009.1","6.4","0.3","178.6"
"Terry McLaurin","WAS","WR23","0.3","0.3","0.0","68.6","971.1","7.4","0.3","175.0"
"Jaylen Warren","PIT","RB24","189.4","833.1","4.9","42.4","321.7","1.8","1.0","174.8"
"Jadarian Price","SEA","RB25","215.5","912.2","7.6","26.0","220.1","1.1","2.0","174.5"
"Rome Odunze","CHI","WR24","0.3","1.3","0.0","62.6","964.9","7.8","0.3","174.1"
"TreVeyon Henderson","NE","RB26","185.8","852.4","6.9","35.2","244.3","1.2","0.8","173.9"
"DJ Moore","BUF","WR25","10.3","54.0","0.5","69.1","904.6","7.0","0.8","173.6"
"Jaylen Waddle","DEN","WR26","1.7","12.4","0.0","74.5","992.0","6.0","0.3","173.2"
"Colston Loveland","CHI","TE3","0.0","0.0","0.0","79.3","928.3","6.7","0.2","172.1"
"Luther Burden III","CHI","WR27","7.7","37.9","0.1","72.6","974.5","5.7","0.3","171.8"
"Tony Pollard","TEN","RB27","235.8","1032.7","5.5","31.9","208.1","0.5","2.1","171.7"
