fp_overall_rank,player,nfl_team,position,position_rank,fp_tier,bye_week,is_true_rookie,notes
34,Tetairoa McMillan,CAR,WR,19,4,5,,
42,Jeremiyah Love,ARI,RB,15,5,14,,
66,Carnell Tate,TEN,WR,31,6,9,,
70,Jadarian Price,SEA,RB,26,6,11,,
89,Jonathon Brooks,CAR,RB,31,7,5,,
98,Kenny Gainwell,TB,RB,34,8,10,,
108,Makai Lemon,PHI,WR,47,8,10,,
111,Rachaad White,WAS,RB,37,8,7,,
113,Jacory Croskey-Merritt,WAS,RB,38,8,7,,
117,KC Concepcion,CLE,WR,48,8,11,,
122,Isaiah Likely,NYG,TE,14,8,8,,
125,Tyler Shough,NO,QB,20,8,8,,
128,Malik Willis,MIA,QB,21,8,6,,
132,Jordyn Tyson,NO,WR,54,9,8,,
134,De'Zhaun Stribling,SF,WR,55,9,8,,
138,Sam Darnold,SEA,QB,22,9,11,,
142,Dylan Sampson,CLE,RB,46,9,11,,
145,Denzel Boston,CLE,WR,58,9,11,,
146,Cam Ward,TEN,QB,25,9,9,,
148,Jonah Coleman,DEN,RB,49,9,10,,
150,Chig Okonkwo,WAS,TE,18,9,7,,
157,Adonai Mitchell,NYJ,WR,60,9,13,,
159,Tank Bigsby,PHI,RB,53,10,10,,
160,Bryce Young,CAR,QB,26,10,5,,
161,Jerry Jeudy,CLE,WR,61,10,11,,
162,MarShawn Lloyd,GB,RB,54,10,11,,
163,Mike Washington Jr.,LV,RB,55,10,13,,
166,Jauan Jennings,MIN,WR,63,10,6,,
173,Dontayvion Wicks,PHI,WR,66,10,10,,
174,Omar Cooper Jr.,NYJ,WR,67,10,13,,
177,Ryan Flournoy,DAL,WR,68,10,14,,
183,Emmett Johnson,KC,RB,58,10,5,,
185,Jalen Nailor,LV,WR,71,10,13,,
187,Ray Davis,BUF,RB,59,10,7,,
195,Calvin Ridley,TEN,WR,74,10,9,,
198,Terrance Ferguson,LAR,TE,23,10,11,,
201,Jaylin Noel,HOU,WR,75,11,8,,
202,Sean Tucker,TB,RB,61,11,10,,
206,Gunnar Helm,TEN,TE,25,11,9,,
208,Nicholas Singleton,TEN,RB,62,11,9,,
209,Aaron Rodgers,PIT,QB,28,11,9,,
210,Geno Smith,NYJ,QB,29,11,13,,
211,Kenyon Sadiq,NYJ,TE,26,11,13,,
214,Tank Dell,HOU,WR,76,11,8,,
220,Darnell Mooney,NYG,WR,79,11,8,,
223,Isaac TeSlaa,DET,WR,80,11,6,,
229,Pat Freiermuth,PIT,TE,27,11,9,,
230,Kaytron Allen,WAS,RB,65,11,7,,
231,Ja'Kobi Lane,BAL,WR,82,11,13,,
234,Germie Bernard,PIT,WR,83,11,9,,
236,Zachariah Branch,ATL,WR,84,11,11,,
237,Greg Dulcich,MIA,TE,29,11,6,,
238,Justice Hill,BAL,RB,67,11,13,,
239,Antonio Williams,WAS,WR,85,11,7,,
240,George Holani,SEA,RB,68,11,11,,
241,Caleb Douglas,MIA,WR,86,11,6,,
242,Jaylen Wright,MIA,RB,69,11,6,,
243,Kaelon Black,SF,RB,70,11,8,,
244,Malachi Fields,NYG,WR,87,11,8,,
246,Evan Engram,DEN,TE,30,11,10,,
248,Jack Bech,LV,WR,89,11,13,,
250,David Njoku,LAC,TE,31,11,7,,
252,Chris Bell,MIA,WR,91,12,6,,
253,Ted Hurst III,TB,WR,92,12,10,,
254,Fernando Mendoza,LV,QB,30,12,13,,
255,Chimere Dike,TEN,WR,93,12,9,,
258,Demond Claiborne,MIN,RB,73,12,6,,
261,Ty Johnson,BUF,RB,75,12,7,,
262,Samaje Perine,CIN,RB,76,12,6,,
264,Cyrus Allen,KC,WR,95,12,5,,
265,LeQuint Allen Jr.,JAC,RB,77,12,7,,
266,Jordan James,SF,RB,78,12,8,,
269,Tua Tagovailoa,ATL,QB,31,12,11,,
270,Tyquan Thornton,KC,WR,97,12,5,,
273,Chris Brooks,GB,RB,79,12,11,,
274,Elijah Sarratt,BAL,WR,99,12,13,,
278,Malik Davis,DAL,RB,80,12,14,,
279,Michael Penix Jr.,ATL,QB,32,12,11,,
280,Marvin Mims Jr.,DEN,WR,102,12,10,,
284,Kirk Cousins,LV,QB,33,12,13,,
285,DJ Giddens,IND,RB,81,12,13,,
287,Deshaun Watson,CLE,QB,34,12,11,,
288,Seth McGowan,IND,RB,83,12,13,,
290,Eli Stowers,PHI,TE,35,12,10,,
291,Shedeur Sanders,CLE,QB,35,12,11,,
292,Kendre Miller,NO,RB,84,12,8,,
293,Kyle Williams,NE,WR,103,12,11,,
294,Brashard Smith,KC,RB,85,12,5,,
295,Emari Demercado,KC,RB,86,12,5,,
296,Hollywood Brown,PHI,WR,104,12,10,,
297,Adam Randall,BAL,RB,87,12,13,,
298,Mike Gesicki,CIN,TE,36,12,6,,
299,Devin Singletary,NYG,RB,88,12,8,,
300,Mack Hollins,NE,WR,105,12,11,,
301,Isaiah Bond,CLE,WR,106,13,11,,
303,Skyler Bell,BUF,WR,107,13,7,,
307,Trevor Etienne,CAR,RB,91,13,5,,
308,Brandon Aiyuk,SF,WR,108,13,8,,
309,Jake Tonges,SF,TE,38,13,8,,
311,Jarquez Hunter,MIA,RB,92,13,6,,
313,Andrei Iosivas,CIN,WR,109,13,6,,
314,Isaac Guerendo,SF,RB,93,13,8,,
315,Jerome Ford,WAS,RB,94,13,7,,
316,Jaleel McLaughlin,DEN,RB,95,13,10,,
317,DeMario Douglas,NE,WR,110,13,11,,
318,Audric Estime,NO,RB,96,13,8,,
