player,position,nfl_team,projected_points,pass_yd,pass_td,interception,rush_yd,rush_td,reception,rec_yd,rec_td,fumble_lost,two_pt
Jahmyr Gibbs,RB,DET,296.35,,,,1245.0,11.4,62.9,530.0,3.2,1.0,0.9
Bijan Robinson,RB,ATL,295.2,,,,1243.0,8.6,69.4,644.0,3.6,1.6,0.9
Ja'Marr Chase,WR,CIN,266.33,,,,18.3,0.1,119.0,1434.0,10.2,0.8,0.7
Puka Nacua,WR,LAR,256.87,,,,73.7,0.3,108.0,1413.0,8.8,0.8,0.6
Jonathan Taylor,RB,IND,256.35,,,,1373.0,10.5,38.1,304.0,1.3,1.6,1.0
Christian McCaffrey,RB,SF,265.35,,,,941.0,8.4,69.5,627.0,4.3,1.6,0.4
Amon-Ra St. Brown,WR,DET,247.22,,,,11.2,0.1,110.0,1341.0,9.4,0.7,0.7
Jaxon Smith-Njigba,WR,SEA,253.78,,,,37.8,0.1,103.0,1453.0,8.8,0.8,0.7
James Cook III,RB,BUF,234.4,,,,1288.0,8.9,32.0,270.0,1.8,1.6,0.8
Saquon Barkley,RB,PHI,222.8,,,,1151.0,7.8,37.6,295.0,2.2,1.1,0.8
CeeDee Lamb,WR,DAL,224.28,,,,11.8,0.1,94.6,1274.0,8.0,0.7,0.6
Kenneth Walker III,RB,KC,217.65,,,,1069.0,7.8,39.5,332.0,2.0,0.8,0.3
Justin Jefferson,WR,MIN,221.18,,,,10.3,0.1,95.3,1247.0,7.9,0.2,0.1
Chase Brown,RB,CIN,227.25,,,,915.0,8.1,58.7,414.0,3.1,1.5,0.4
De'Von Achane,RB,MIA,242.2,,,,1125.0,6.1,59.6,445.0,3.5,1.4,0.3
Omarion Hampton,RB,LAC,205.65,,,,959.0,7.9,44.5,307.0,1.9,1.4,0.4
Derrick Henry,RB,BAL,227.4,,,,1325.0,10.8,18.4,165.0,1.0,1.6,0.8
Nico Collins,WR,HOU,214.51,,,,14.1,0.1,80.4,1217.0,8.3,0.2,0.6
Brock Bowers,TE,LV,177.91,,,,11.1,0.0,88.8,936.0,6.5,0.7,0.6
Drake London,WR,ATL,221.3,,,,2.0,,93.0,1250.0,8.1,0.2,0.7
Ashton Jeanty,RB,LV,199.4,,,,971.0,6.4,45.4,316.0,2.0,1.6,0.4
A.J. Brown,WR,NE,194.9,,,,3.5,0.1,79.3,1085.0,7.5,0.2,0.6
George Pickens,WR,DAL,209.94,,,,3.4,,80.8,1228.0,7.6,0.2,0.6
Malik Nabers,WR,NYG,183.51,,,,8.6,0.1,79.3,1002.0,6.9,0.2,0.6
Chris Olave,WR,NO,194.65,,,,4.5,0.0,85.2,1068.0,7.3,0.2,0.7
DeVonta Smith,WR,PHI,189.84,,,,3.4,,82.6,1076.0,6.8,0.2,0.1
Kyren Williams,RB,LAR,196.2,,,,993.0,8.7,29.4,212.0,1.8,1.3,0.3
Tee Higgins,WR,CIN,181.9,,,,3.5,,71.7,1027.0,7.0,0.1,0.6
Trey McBride,TE,ARI,188.05,,,,,,95.7,964.0,7.3,0.7,0.7
Breece Hall,RB,NYJ,201.5,,,,1039.0,5.9,37.2,328.0,2.2,1.5,0.3
Josh Allen,QB,BUF,328.82,3578.0,26.2,9.3,517.0,8.3,,,,2.6,1.6
Jeremiyah Love,RB,ARI,202.4,,,,857.0,5.5,51.4,454.0,2.3,1.0,0.4
Zay Flowers,WR,BAL,205.23,,,,48.3,0.1,84.4,1168.0,7.0,0.7,0.1
Jaylen Waddle,WR,DEN,177.9,,,,15.5,0.0,75.1,1006.0,6.4,0.2,0.1
Javonte Williams,RB,DAL,196.9,,,,1015.0,8.6,33.2,186.0,1.6,0.9,0.4
Rashee Rice,WR,KC,197.11,,,,44.6,0.3,86.1,994.0,8.1,0.8,0.7
Colston Loveland,TE,CHI,157.08,,,,1.3,,71.9,834.0,6.3,0.2,0.1
Tetairoa McMillan,WR,CAR,184.82,,,,3.2,,75.8,1080.0,6.3,0.2,0.6
Ladd McConkey,WR,LAC,165.85,,,,6.0,0.0,73.1,921.0,6.1,0.1,0.1
Garrett Wilson,WR,NYJ,163.37,,,,8.2,,78.9,927.0,5.1,0.2,0.1
Travis Etienne Jr.,RB,NO,190.4,,,,945.0,6.2,36.4,287.0,2.0,0.9,0.8
D'Andre Swift,RB,CHI,180.15,,,,926.0,7.2,30.7,246.0,0.9,0.8,0.3
Emeka Egbuka,WR,TB,166.25,,,,11.5,0.0,66.6,940.0,6.3,0.1,0.1
Josh Jacobs,RB,GB,189.35,,,,920.0,8.9,29.5,234.0,1.2,1.5,0.8
Luther Burden III,WR,CHI,169.58,,,,45.3,0.1,70.1,906.0,6.5,0.2,0.1
Terry McLaurin,WR,WAS,173.93,,,,3.8,,69.7,1001.0,6.4,0.1,0.2
Tyler Warren,TE,IND,162.68,,,,16.3,0.2,79.3,842.0,6.0,0.2,0.2
DJ Moore,WR,BUF,154.17,,,,29.7,0.1,63.6,840.0,6.0,0.7,0.1
Cam Skattebo,RB,NYG,186.4,,,,908.0,6.3,37.8,311.0,1.5,0.9,0.3
Lamar Jackson,QB,BAL,289.92,3308.0,25.8,9.1,548.0,3.7,,,,3.2,1.0
Rome Odunze,WR,CHI,159.72,,,,4.2,,59.6,863.0,7.2,0.1,0.1
Jameson Williams,WR,DET,156.45,,,,37.0,0.2,56.7,896.0,5.6,0.1,0.1
Bucky Irving,RB,TB,175.8,,,,867.0,6.1,33.4,276.0,1.8,1.5,0.2
Christian Watson,WR,GB,161.94,,,,7.9,0.0,56.5,927.0,6.7,0.1,0.1
Bhayshul Tuten,RB,JAX,160.4,,,,793.0,6.1,30.0,231.0,1.3,1.0,0.3
Parker Washington,WR,JAX,162.09,,,,36.9,0.0,63.8,885.0,6.2,0.2,0.6
Davante Adams,WR,LAR,161.35,,,,,,62.1,817.0,7.9,0.1,0.7
Quinshon Judkins,RB,CLE,177.8,,,,970.0,6.9,28.8,202.0,1.0,1.0,0.4
David Montgomery,RB,HOU,176.5,,,,899.0,7.5,28.8,220.0,1.1,1.0,0.3
Jadarian Price,RB,SEA,169.9,,,,884.0,7.3,23.0,208.0,1.1,0.9,0.3
Mike Evans,WR,SF,164.95,,,,,,64.7,902.0,6.9,0.1,0.6
Drake Maye,QB,NE,296.32,3763.0,26.9,9.1,410.0,3.1,,,,2.6,1.0
Jayden Daniels,QB,WAS,293.28,3342.0,23.0,9.0,618.0,4.5,,,,2.8,1.2
Joe Burrow,QB,CIN,282.7,4070.0,29.4,9.8,139.0,1.7,,,,2.7,1.6
TreVeyon Henderson,RB,NE,158.6,,,,771.0,5.6,33.6,233.0,1.5,0.9,0.3
Jalen Hurts,QB,PHI,297.46,3424.0,22.4,7.4,451.0,7.3,,,,2.7,1.1
Tucker Kraft,TE,GB,143.34,,,,4.4,0.0,62.4,807.0,5.2,0.2,0.1
Rhamondre Stevenson,RB,NE,157.55,,,,713.0,6.0,31.9,253.0,1.7,0.9,0.3
Marvin Harrison Jr.,WR,ARI,145.68,,,,1.3,,57.5,832.0,5.6,0.1,0.1
Jaylen Warren,RB,PIT,162.0,,,,708.0,5.2,40.2,319.0,1.7,1.3,0.2
Sam LaPorta,TE,DET,139.7,,,,1.0,,68.8,754.0,5.0,0.2,0.1
Caleb Williams,QB,CHI,271.0,3480.0,26.5,8.2,330.0,2.0,,,,2.4,1.0
Brian Thomas Jr.,WR,JAX,138.06,,,,17.6,0.1,52.8,769.0,5.4,0.1,0.1
Carnell Tate,WR,TEN,140.03,,,,3.3,,64.2,794.0,4.7,0.1,0.1
