player,position,nfl_team,projected_points,pass_yd,pass_td,interception,rush_yd,rush_td,reception,rec_yd,rec_td,fumble_lost,two_pt
Christian McCaffrey,RB,SF,365.6,0.0,0.0,0.0,1202.0,10.0,102.0,924.0,7.0,0.0,0.0
Josh Allen,QB,BUF,364.62,3668.0,25.0,10.0,579.0,14.0,0.0,0.0,0.0,3.0,1.0
Drake Maye,QB,NE,351.46,4394.0,31.0,8.0,450.0,4.0,1.0,2.0,0.0,3.0,2.0
Matthew Stafford,QB,LA,350.38,4707.0,46.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
Jonathan Taylor,RB,IND,339.3,0.0,0.0,0.0,1585.0,18.0,46.0,378.0,2.0,1.0,1.0
Trevor Lawrence,QB,JAX,338.18,4007.0,29.0,12.0,359.0,9.0,0.0,0.0,0.0,3.0,1.0
Bijan Robinson,RB,ATL,331.3,0.0,0.0,0.0,1478.0,7.0,79.0,820.0,4.0,3.0,1.0
Jahmyr Gibbs,RB,DET,328.4,0.0,0.0,0.0,1223.0,13.0,77.0,616.0,5.0,1.0,0.0
Caleb Williams,QB,CHI,317.68,3942.0,27.0,7.0,388.0,3.0,2.0,22.0,1.0,1.0,1.0
Dak Prescott,QB,DAL,313.78,4552.0,30.0,10.0,177.0,2.0,0.0,0.0,0.0,2.0,3.0
Puka Nacua,WR,LA,310.5,0.0,0.0,0.0,105.0,1.0,129.0,1715.0,10.0,1.0,0.0
Bo Nix,QB,DEN,304.84,3931.0,25.0,11.0,356.0,5.0,0.0,0.0,0.0,2.0,4.0
Jaxon Smith-Njigba,WR,SEA,300.4,0.0,0.0,0.0,36.0,0.0,119.0,1793.0,10.0,1.0,0.0
Jalen Hurts,QB,PHI,299.06,3224.0,25.0,6.0,421.0,8.0,0.0,0.0,0.0,4.0,0.0
Jared Goff,QB,DET,297.06,4564.0,34.0,8.0,45.0,0.0,0.0,0.0,0.0,5.0,0.0
De'Von Achane,RB,MIA,289.3,0.0,0.0,0.0,1350.0,8.0,67.0,488.0,4.0,0.0,0.0
Justin Herbert,QB,LAC,286.88,3727.0,26.0,13.0,498.0,2.0,0.0,0.0,0.0,2.0,1.0
James Cook,RB,BUF,285.7,0.0,0.0,0.0,1621.0,12.0,33.0,291.0,2.0,3.0,0.0
Patrick Mahomes,QB,KC,285.18,3587.0,22.0,11.0,422.0,5.0,1.0,-10.0,0.0,0.0,2.0
Derrick Henry,RB,BAL,272.0,0.0,0.0,0.0,1595.0,16.0,15.0,150.0,0.0,3.0,0.0
Baker Mayfield,QB,TB,271.92,3693.0,26.0,11.0,382.0,1.0,0.0,0.0,0.0,3.0,2.0
Amon-Ra St. Brown,WR,DET,265.5,0.0,0.0,0.0,9.0,0.0,117.0,1401.0,11.0,0.0,0.0
Trey McBride,TE,ARI,252.9,0.0,0.0,0.0,0.0,0.0,126.0,1239.0,11.0,0.0,0.0
Ja'Marr Chase,WR,CIN,251.1,0.0,0.0,0.0,14.0,0.0,125.0,1412.0,8.0,1.0,0.0
Chase Brown,RB,CIN,248.1,0.0,0.0,0.0,1019.0,6.0,69.0,437.0,5.0,0.0,1.0
George Pickens,WR,DAL,245.4,0.0,0.0,0.0,0.0,0.0,93.0,1429.0,9.0,0.0,1.0
Kyren Williams,RB,LA,245.3,0.0,0.0,0.0,1252.0,10.0,36.0,281.0,3.0,2.0,0.0
Jaxson Dart,QB,NYG,241.58,2272.0,15.0,5.0,487.0,9.0,0.0,0.0,0.0,2.0,1.0
Travis Etienne,RB,JAX,235.9,0.0,0.0,0.0,1107.0,7.0,36.0,292.0,6.0,0.0,0.0
Sam Darnold,QB,SEA,235.42,4048.0,25.0,14.0,95.0,0.0,0.0,0.0,0.0,6.0,2.0
Jordan Love,QB,GB,235.14,3381.0,23.0,6.0,199.0,0.0,0.0,0.0,0.0,2.0,2.0
Jacoby Brissett,QB,ARI,227.44,3366.0,23.0,8.0,168.0,1.0,0.0,0.0,0.0,4.0,1.0
Aaron Rodgers,QB,PIT,226.58,3322.0,24.0,7.0,61.0,1.0,1.0,-9.0,0.0,1.0,1.0
Daniel Jones,QB,IND,226.44,3101.0,19.0,8.0,164.0,5.0,0.0,0.0,0.0,3.0,1.0
Javonte Williams,RB,DAL,225.3,0.0,0.0,0.0,1201.0,11.0,35.0,137.0,2.0,2.0,0.0
Josh Jacobs,RB,GB,219.1,0.0,0.0,0.0,929.0,13.0,36.0,282.0,1.0,2.0,0.0
Bryce Young,QB,CAR,218.04,3011.0,23.0,11.0,216.0,2.0,0.0,0.0,0.0,4.0,1.0
Chris Olave,WR,NO,218.0,0.0,0.0,1.0,-3.0,0.0,100.0,1163.0,9.0,0.0,0.0
Ashton Jeanty,RB,LV,217.6,0.0,0.0,0.0,975.0,5.0,55.0,346.0,5.0,1.0,0.0
Lamar Jackson,QB,BAL,214.86,2549.0,21.0,7.0,349.0,2.0,0.0,0.0,0.0,3.0,1.0
Saquon Barkley,RB,PHI,213.8,0.0,0.0,0.0,1140.0,7.0,37.0,273.0,2.0,1.0,1.0
D'Andre Swift,RB,CHI,211.6,0.0,0.0,0.0,1087.0,9.0,34.0,299.0,1.0,2.0,0.0
C.J. Stroud,QB,HOU,208.54,3041.0,19.0,8.0,209.0,1.0,0.0,0.0,0.0,0.0,0.0
Zay Flowers,WR,BAL,200.3,0.0,0.0,0.0,62.0,1.0,86.0,1211.0,5.0,3.0,0.0
Jaylen Warren,RB,PIT,197.1,0.0,0.0,0.0,958.0,6.0,40.0,333.0,2.0,0.0,0.0
Rico Dowdle,RB,CAR,196.8,0.0,0.0,0.0,1076.0,6.0,39.0,297.0,1.0,1.0,0.0
Davante Adams,WR,LA,192.9,0.0,0.0,0.0,0.0,0.0,60.0,789.0,14.0,0.0,0.0
Nico Collins,WR,HOU,190.7,0.0,0.0,0.0,15.0,1.0,71.0,1117.0,6.0,1.0,1.0
Breece Hall,RB,NYJ,189.66,4.0,1.0,0.0,1065.0,4.0,36.0,350.0,1.0,2.0,0.0
TreVeyon Henderson,RB,NE,188.7,0.0,0.0,0.0,911.0,9.0,35.0,221.0,1.0,1.0,0.0
Jameson Williams,WR,DET,187.4,0.0,0.0,0.0,12.0,0.0,65.0,1117.0,7.0,0.0,0.0
Cam Ward,QB,TEN,186.66,3169.0,15.0,7.0,159.0,2.0,0.0,0.0,0.0,7.0,0.0
