player,position,nfl_team,fp_overall_rank,fp_position_rank,fp_tier,price_fp_rank_curve_REFERENCE_ONLY,price_fp_vbd_position_rank_REFERENCE_ONLY
Jonathan Taylor,RB,IND,10,4,2,53.0,61.0
A.J. Brown,WR,NE,12,8,3,46.0,57.0
James Cook III,RB,BUF,13,5,3,44.0,60.0
Brock Bowers,TE,LV,17,1,3,36.0,18.0
DeVonta Smith,WR,PHI,22,12,4,30.0,54.0
Rashee Rice,WR,KC,25,14,4,27.0,52.0
Omarion Hampton,RB,LAC,26,10,4,27.0,55.0
Josh Allen,QB,BUF,27,1,4,26.0,14.0
Ashton Jeanty,RB,LV,28,11,4,25.0,55.0
Lamar Jackson,QB,BAL,31,2,4,23.0,13.0
Ladd McConkey,WR,LAC,32,17,4,23.0,49.0
Jaylen Waddle,WR,DEN,33,18,4,22.0,48.0
Tetairoa McMillan,WR,CAR,34,19,4,22.0,47.0
Colston Loveland,TE,CHI,35,3,5,21.0,16.0
Tee Higgins,WR,CIN,36,20,5,21.0,46.0
Emeka Egbuka,WR,TB,40,21,5,19.0,45.0
Jeremiyah Love,RB,ARI,42,15,5,19.0,51.0
Joe Burrow,QB,CIN,44,4,5,18.0,11.0
Travis Etienne Jr.,RB,NO,45,17,5,18.0,49.0
Luther Burden III,WR,CHI,46,22,5,18.0,44.0
Terry McLaurin,WR,WAS,47,23,5,17.0,43.0
Josh Jacobs,RB,GB,48,18,5,17.0,48.0
Davante Adams,WR,LAR,49,24,5,17.0,42.0
DJ Moore,WR,BUF,50,25,5,17.0,41.0
Tyler Warren,TE,IND,51,4,6,16.0,15.0
Mike Evans,WR,SF,55,27,6,15.0,40.0
Jalen Hurts,QB,PHI,56,6,6,15.0,9.0
Christian Watson,WR,GB,58,29,6,15.0,38.0
Bucky Irving,RB,TB,60,21,6,15.0,45.0
Quinshon Judkins,RB,CLE,61,22,6,14.0,44.0
Parker Washington,WR,JAC,63,30,6,14.0,37.0
Caleb Williams,QB,CHI,64,7,6,14.0,8.0
Bhayshul Tuten,RB,JAC,65,24,6,14.0,42.0
Carnell Tate,WR,TEN,66,31,6,14.0,36.0
Justin Herbert,QB,LAC,68,8,6,13.0,8.0
TreVeyon Henderson,RB,NE,69,25,6,13.0,41.0
Jadarian Price,RB,SEA,70,26,6,13.0,40.0
Harold Fannin Jr.,TE,CLE,71,5,7,13.0,14.0
Chris Godwin Jr.,WR,TB,72,33,7,13.0,34.0
Dak Prescott,QB,DAL,74,9,7,13.0,7.0
Jaylen Warren,RB,PIT,75,28,7,12.0,39.0
Kyle Pitts Sr.,TE,ATL,76,6,7,12.0,13.0
Trevor Lawrence,QB,JAC,77,10,7,12.0,6.0
Brian Thomas Jr.,WR,JAC,79,35,7,12.0,32.0
Tucker Kraft,TE,GB,80,7,7,12.0,12.0
Courtland Sutton,WR,DEN,82,37,7,12.0,30.0
Tony Pollard,RB,TEN,83,29,7,12.0,38.0
Wan'Dale Robinson,WR,TEN,84,38,7,11.0,29.0
Michael Wilson,WR,ARI,87,40,7,11.0,27.0
Rico Dowdle,RB,PIT,88,30,7,11.0,37.0
Jonathon Brooks,RB,CAR,89,31,7,11.0,36.0
Quentin Johnston,WR,LAC,90,41,7,11.0,26.0
RJ Harvey,RB,DEN,91,32,7,11.0,35.0
Brock Purdy,QB,SF,92,11,7,11.0,5.0
Jaxson Dart,QB,NYG,93,12,8,11.0,4.0
Bo Nix,QB,DEN,95,13,8,10.0,3.0
George Kittle,TE,SF,96,10,8,10.0,9.0
Kenny Gainwell,RB,TB,98,34,8,10.0,33.0
Alec Pierce,WR,IND,99,42,8,10.0,25.0
Stefon Diggs,WR,WAS,102,43,8,10.0,24.0
Matthew Stafford,QB,LAR,104,15,8,10.0,1.0
Makai Lemon,WR,PHI,108,47,8,10.0,21.0
Blake Corum,RB,LAR,109,36,8,9.0,31.0
Dalton Kincaid,TE,BUF,110,11,8,9.0,8.0
Rachaad White,RB,WAS,111,37,8,9.0,30.0
Jacory Croskey-Merritt,RB,WAS,113,38,8,9.0,29.0
Jordan Mason,RB,MIN,114,39,8,9.0,28.0
Aaron Jones Sr.,RB,MIN,115,40,8,9.0,27.0
Kyle Monangai,RB,CHI,116,41,8,9.0,26.0
KC Concepcion,WR,CLE,117,48,8,9.0,20.0
Dallas Goedert,TE,PHI,118,12,8,9.0,8.0
Jake Ferguson,TE,DAL,119,13,8,9.0,7.0
Baker Mayfield,QB,TB,120,18,8,9.0,
Isaiah Likely,TE,NYG,122,14,8,9.0,6.0
Khalil Shakir,WR,BUF,123,49,8,9.0,19.0
Jalen Coker,WR,CAR,124,50,8,9.0,18.0
Tyler Shough,QB,NO,125,20,8,9.0,
Romeo Doubs,WR,NE,126,51,8,9.0,17.0
Matthew Golden,WR,GB,127,52,8,8.0,16.0
Malik Willis,QB,MIA,128,21,8,8.0,
Xavier Worthy,WR,KC,129,53,9,8.0,15.0
Juwan Johnson,TE,NO,130,15,9,8.0,5.0
Jordyn Tyson,WR,NO,132,54,9,8.0,14.0
Woody Marks,RB,HOU,133,42,9,8.0,25.0
De'Zhaun Stribling,WR,SF,134,55,9,8.0,13.0
Tyjae Spears,RB,TEN,135,43,9,8.0,24.0
Chris Rodriguez Jr.,RB,JAC,137,45,9,8.0,23.0
Sam Darnold,QB,SEA,138,22,9,8.0,
Deebo Samuel Sr.,WR,SF,140,56,9,8.0,12.0
Daniel Jones,QB,IND,141,24,9,8.0,
Dylan Sampson,RB,CLE,142,46,9,8.0,22.0
Rashid Shaheed,WR,SEA,143,57,9,8.0,11.0
Denzel Boston,WR,CLE,145,58,9,8.0,10.0
Cam Ward,QB,TEN,146,25,9,8.0,
Jonah Coleman,RB,DEN,148,49,9,8.0,19.0
Brenton Strange,TE,JAC,149,17,9,8.0,3.0
Chig Okonkwo,TE,WAS,150,18,9,8.0,2.0
Dalton Schultz,TE,HOU,151,19,9,7.0,1.0
Tre Tucker,WR,LV,152,59,9,7.0,9.0
Tyrone Tracy Jr.,RB,NYG,154,50,9,7.0,18.0
Hunter Henry,TE,NE,155,20,9,7.0,
Isiah Pacheco,RB,DET,156,51,9,7.0,17.0
Adonai Mitchell,WR,NYJ,157,60,9,7.0,8.0
Alvin Kamara,RB,NO,158,52,9,7.0,16.0
Tank Bigsby,RB,PHI,159,53,10,7.0,15.0
Bryce Young,QB,CAR,160,26,10,7.0,
Jerry Jeudy,WR,CLE,161,61,10,7.0,8.0
MarShawn Lloyd,RB,GB,162,54,10,7.0,14.0
Mike Washington Jr.,RB,LV,163,55,10,7.0,13.0
Jalen McMillan,WR,TB,165,62,10,7.0,7.0
Jauan Jennings,WR,MIN,166,63,10,7.0,6.0
Braelon Allen,RB,NYJ,167,56,10,7.0,12.0
Kayshon Boutte,WR,HOU,170,64,10,7.0,5.0
Tre' Harris,WR,LAC,172,65,10,7.0,4.0
Dontayvion Wicks,WR,PHI,173,66,10,7.0,3.0
Omar Cooper Jr.,WR,NYJ,174,67,10,7.0,2.0
T.J. Hockenson,TE,MIN,175,21,10,7.0,
Ryan Flournoy,WR,DAL,177,68,10,7.0,1.0
Jacoby Brissett,QB,ARI,179,27,10,7.0,
Pat Bryant,WR,DEN,180,69,10,7.0,
Emmett Johnson,RB,KC,183,58,10,7.0,10.0
Malik Washington,WR,MIA,184,70,10,6.0,
Jalen Nailor,WR,LV,185,71,10,6.0,
Ray Davis,RB,BUF,187,59,10,6.0,9.0
Travis Hunter,WR,JAC,193,73,10,6.0,
AJ Barner,TE,SEA,194,22,10,6.0,
Calvin Ridley,WR,TEN,195,74,10,6.0,
Kimani Vidal,RB,LAC,196,60,10,6.0,8.0
Terrance Ferguson,TE,LAR,198,23,10,6.0,
Jaylin Noel,WR,HOU,201,75,11,6.0,
Sean Tucker,RB,TB,202,61,11,6.0,8.0
Oronde Gadsden II,TE,LAC,203,24,11,6.0,
Gunnar Helm,TE,TEN,206,25,11,6.0,
Nicholas Singleton,RB,TEN,208,62,11,6.0,7.0
Aaron Rodgers,QB,PIT,209,28,11,6.0,
Geno Smith,QB,NYJ,210,29,11,6.0,
Kenyon Sadiq,TE,NYJ,211,26,11,6.0,
James Conner,RB,ARI,213,63,11,6.0,6.0
Tank Dell,WR,HOU,214,76,11,6.0,
Cooper Kupp,WR,SEA,217,77,11,6.0,
Darnell Mooney,WR,NYG,220,79,11,6.0,
Jaydon Blue,RB,DAL,222,64,11,6.0,5.0
Isaac TeSlaa,WR,DET,223,80,11,6.0,
Troy Franklin,WR,DEN,226,81,11,6.0,
Pat Freiermuth,TE,PIT,229,27,11,6.0,
Kaytron Allen,RB,WAS,230,65,11,6.0,4.0
Ja'Kobi Lane,WR,BAL,231,82,11,6.0,
Cade Otton,TE,TB,233,28,11,5.0,
Germie Bernard,WR,PIT,234,83,11,5.0,
Emanuel Wilson,RB,SEA,235,66,11,5.0,3.0
Zachariah Branch,WR,ATL,236,84,11,5.0,
Greg Dulcich,TE,MIA,237,29,11,5.0,
Justice Hill,RB,BAL,238,67,11,5.0,2.0
Antonio Williams,WR,WAS,239,85,11,5.0,
George Holani,RB,SEA,240,68,11,5.0,1.0
Caleb Douglas,WR,MIA,241,86,11,5.0,
Jaylen Wright,RB,MIA,242,69,11,5.0,
Kaelon Black,RB,SF,243,70,11,5.0,
Malachi Fields,WR,NYG,244,87,11,5.0,
Evan Engram,TE,DEN,246,30,11,5.0,
Devaughn Vele,WR,NO,247,88,11,5.0,
Jack Bech,WR,LV,248,89,11,5.0,
David Njoku,TE,LAC,250,31,11,5.0,
Chris Bell,WR,MIA,252,91,12,5.0,
Ted Hurst III,WR,TB,253,92,12,5.0,
Fernando Mendoza,QB,LV,254,30,12,5.0,
Chimere Dike,WR,TEN,255,93,12,5.0,
Ollie Gordon II,RB,MIA,256,71,12,5.0,
Isaiah Davis,RB,NYJ,257,72,12,5.0,
Demond Claiborne,RB,MIN,258,73,12,5.0,
Najee Harris,RB,NYG,259,74,12,5.0,
Elic Ayomanor,WR,TEN,260,94,12,5.0,
Ty Johnson,RB,BUF,261,75,12,5.0,
Samaje Perine,RB,CIN,262,76,12,5.0,
Colby Parkinson,TE,LAR,263,32,12,5.0,
Cyrus Allen,WR,KC,264,95,12,5.0,
LeQuint Allen Jr.,RB,JAC,265,77,12,5.0,
Jordan James,RB,SF,266,78,12,5.0,
Tory Horton,WR,SEA,267,96,12,5.0,
Tua Tagovailoa,QB,ATL,269,31,12,5.0,
Tyquan Thornton,WR,KC,270,97,12,5.0,
Darius Slayton,WR,NYG,272,98,12,5.0,
Chris Brooks,RB,GB,273,79,12,5.0,
Elijah Sarratt,WR,BAL,274,99,12,5.0,
Mason Taylor,TE,NYJ,276,33,12,5.0,
Xavier Legette,WR,CAR,277,101,12,5.0,
Malik Davis,RB,DAL,278,80,12,5.0,
Michael Penix Jr.,QB,ATL,279,32,12,5.0,
Marvin Mims Jr.,WR,DEN,280,102,12,5.0,
Theo Johnson,TE,NYG,282,34,12,5.0,
Kirk Cousins,QB,LV,284,33,12,5.0,
DJ Giddens,RB,IND,285,81,12,5.0,
Devin Neal,RB,NO,286,82,12,5.0,
Deshaun Watson,QB,CLE,287,34,12,5.0,
Seth McGowan,RB,IND,288,83,12,5.0,
Eli Stowers,TE,PHI,290,35,12,5.0,
Shedeur Sanders,QB,CLE,291,35,12,5.0,
Kendre Miller,RB,NO,292,84,12,5.0,
Kyle Williams,WR,NE,293,103,12,5.0,
Brashard Smith,RB,KC,294,85,12,5.0,
Emari Demercado,RB,KC,295,86,12,5.0,
Hollywood Brown,WR,PHI,296,104,12,5.0,
Adam Randall,RB,BAL,297,87,12,5.0,
Mike Gesicki,TE,CIN,298,36,12,5.0,
Devin Singletary,RB,NYG,299,88,12,5.0,
Mack Hollins,WR,NE,300,105,12,5.0,
Isaiah Bond,WR,CLE,301,106,13,5.0,
Trey Benson,RB,ARI,302,89,13,5.0,
Skyler Bell,WR,BUF,303,107,13,5.0,
Kaleb Johnson,RB,PIT,305,90,13,5.0,
Darren Waller,TE,CAR,306,37,13,5.0,
Trevor Etienne,RB,CAR,307,91,13,4.0,
Brandon Aiyuk,WR,SF,308,108,13,4.0,
Jake Tonges,TE,SF,309,38,13,4.0,
Jarquez Hunter,RB,MIA,311,92,13,4.0,
Andrei Iosivas,WR,CIN,313,109,13,4.0,
Isaac Guerendo,RB,SF,314,93,13,4.0,
Jerome Ford,RB,WAS,315,94,13,4.0,
Jaleel McLaughlin,RB,DEN,316,95,13,4.0,
DeMario Douglas,WR,NE,317,110,13,4.0,
Audric Estime,RB,NO,318,96,13,4.0,
Tahj Brooks,RB,CIN,319,97,13,4.0,
