player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,historical_salary_if_known,notes
James Cook,RB,,,,78.0,79.0,
Aaron Jones Sr,RB,,,,65.0,66.0,
Josh Jacobs,RB,,189.35,150.70999999999998,53.0,89.0,
Deebo Samuel,WR,,,,52.0,53.0,
Bucky Irving,RB,,175.8,137.16000000000003,47.0,77.0,
DeVonta Smith,WR,,189.84,112.72,47.0,85.0,
TJ Hockenson,TE,,,,47.0,48.0,
Bill Croskey-Merritt,RB,,,,45.0,46.0,
Terry McLaurin,WR,,173.93,96.81,44.0,83.0,
Jaylen Waddle,WR,,177.9,100.78,42.0,77.0,
Jonathan Taylor,RB,,256.35,217.71000000000004,42.0,41.0,
Tee Higgins,WR,,181.9,104.78,41.0,72.0,
Chris Godwin Jr,WR,,,,40.0,41.0,
Tony Pollard,RB,,143.2,104.55999999999999,40.0,70.0,
Travis Etienne,RB,,,,39.0,39.0,
DJ Moore,WR,,154.17,77.04999999999998,39.0,75.0,
RJ Harvey,RB,,136.65,98.01,39.0,70.0,
Alvin Kamara,RB,,68.7,30.060000000000002,38.0,88.0,
Nick Chubb,RB,,,,37.0,37.0,
Rashee Rice,WR,,197.11,119.99000000000001,36.0,55.0,
Jaylen Warren,RB,,162.0,123.36,36.0,54.0,
AJ Brown,WR,,,,36.0,36.0,
Matthew Golden,WR,,127.74,50.61999999999999,34.0,70.0,
Josh Allen,QB,,328.82,72.5,34.0,64.0,
Ladd McConkey,WR,,165.85,88.72999999999999,33.0,57.0,
Jahmyr Gibbs,RB,DET,296.35,257.71000000000004,31.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #2, tier 1"
Bijan Robinson,RB,ATL,295.2,256.56,31.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #4, tier 1"
Joe Burrow,QB,,282.7,26.379999999999995,30.0,69.0,
Isiah Pacheco,RB,,73.93,35.290000000000006,30.0,66.0,
George Kittle,TE,,130.46,32.010000000000005,29.0,64.0,
Lamar Jackson,QB,,289.92,33.60000000000002,29.0,63.0,
Jordan Mason,RB,,137.2,98.55999999999999,29.0,43.0,
Jalen Hurts,QB,,297.46,41.139999999999986,27.0,57.0,
Christian McCaffrey,RB,SF,265.35,226.71000000000004,27.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #8, tier 2"
Khalil Shakir,WR,,122.83,45.709999999999994,26.0,53.0,
Davante Adams,WR,,161.35,84.22999999999999,26.0,41.0,
James Conner,RB,,42.62,3.979999999999997,24.0,59.0,
De'Von Achane,RB,MIA,242.2,203.56,24.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #20, tier 3"
Ja'Marr Chase,WR,CIN,266.33,189.20999999999998,23.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #1, tier 1"
Derrick Henry,RB,BAL,227.4,188.76,23.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #37, tier 5"
Chase Brown,RB,CIN,227.25,188.61,23.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #15, tier 3"
Cooper Kupp,WR,,69.66,0.0,22.0,55.0,
Saquon Barkley,RB,PHI,222.8,184.16000000000003,22.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #21, tier 4"
Jaxon Smith-Njigba,WR,SEA,253.78,176.66,21.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #5, tier 1"
Kenneth Walker III,RB,KC,217.65,179.01,21.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #24, tier 4"
Puka Nacua,WR,LAR,256.87,179.75,21.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #3, tier 1"
Omarion Hampton,RB,,205.65,167.01,20.0,1.0,
Jeremiyah Love,RB,ARI,202.4,163.76,20.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #42, tier 5"
Ashton Jeanty,RB,,199.4,160.76,20.0,1.0,
Amon-Ra St. Brown,WR,DET,247.22,170.1,20.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #6, tier 1"
Javonte Williams,RB,DAL,196.9,158.26,19.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #43, tier 5"
Breece Hall,RB,NYJ,201.5,162.86,19.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #39, tier 5"
Kyren Williams,RB,LAR,196.2,157.56,19.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #41, tier 5"
CeeDee Lamb,WR,DAL,224.28,147.16,18.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #7, tier 2"
Cam Skattebo,RB,NYG,186.4,147.76,18.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #59, tier 6"
