pick,player,position,tier,nominator,winner,price,winner_archetype,forced_final_slot,iteration
1,RJ Harvey,RB,3,Evan,Travis,284.0,emotional,False,0
2,Jonathon Brooks,RB,2,Shane,Brad,311.15217391304344,stars_and_scrubs,False,0
3,Jadarian Price,RB,1,CJ,Shane,331.0,positional_extremist_rb,False,0
4,Rhamondre Stevenson,RB,2,Ryan J,Sam,314.0,stars_and_scrubs,False,0
5,Chuba Hubbard,RB,3,James,Jason,257.17391304347825,stars_and_scrubs,False,0
6,Ladd McConkey,WR,2,Travis,Reid,228.84782608695653,tier_controller,False,0
7,Josh Jacobs,RB,1,Reid,Coby,226.0,anchor,False,0
8,Tetairoa McMillan,WR,1,Jason,CJ,228.85,positional_extremist_wr,False,0
9,DJ Moore,WR,3,Sam,Evan,175.0,anchor,False,0
10,Bucky Irving,RB,1,Coby,Brandon,110.85,tier_controller,False,0
11,Nico Collins,WR,1,Brad,Ryan J,79.0,balanced,False,0
12,Bhayshul Tuten,RB,2,Brandon,Ryan J,78.83,balanced,False,0
13,DeVonta Smith,WR,1,Evan,Travis,73.72677060869566,emotional,False,0
14,Aaron Rodgers,QB,12,Shane,Shane,1.0,positional_extremist_rb,False,0
15,JJ McCarthy,QB,11,CJ,CJ,1.0,positional_extremist_wr,False,0
16,Deshaun Watson,QB,12,Ryan J,Ryan J,1.0,balanced,False,0
17,Terry McLaurin,WR,2,James,James,63.72454817391304,price_enforcer,False,0
18,Jeremiyah Love,RB,1,Travis,James,57.74590956521738,price_enforcer,False,0
19,Kenny Gainwell,RB,4,Reid,Ryan J,48.83,balanced,False,0
20,Trey McBride,TE,1,Jason,James,44.94031391304348,price_enforcer,False,0
21,Rashee Rice,WR,1,Sam,Ryan J,36.499933913043485,balanced,False,0
22,Aaron Jones Sr,RB,4,Coby,Ryan J,37.75975547826087,balanced,False,0
23,Chris Godwin Jr,WR,4,Brad,Reid,35.40079304347826,tier_controller,False,0
24,James Cook,RB,3,Brandon,James,30.83,price_enforcer,False,0
25,Jaylen Waddle,WR,2,Evan,Jason,29.0,stars_and_scrubs,False,0
26,Jacory Croskey-Merritt,RB,4,Shane,James,27.85,price_enforcer,False,0
27,Carnell Tate,WR,4,CJ,Brandon,27.0,tier_controller,False,0
28,Jaylen Warren,RB,2,Ryan J,Brad,24.41095652173913,stars_and_scrubs,False,0
29,Tucker Kraft,TE,1,James,Ryan J,23.98991304347826,balanced,False,0
30,Jordan Mason,RB,4,Travis,James,19.06324652173913,price_enforcer,False,0
31,DK Metcalf,WR,5,Reid,Reid,20.81095886956522,tier_controller,False,0
32,Brian Robinson Jr,RB,6,Jason,Ryan J,19.430969565217392,balanced,False,0
33,Deebo Samuel,WR,3,Sam,James,18.376278260869565,price_enforcer,False,0
34,Travis Etienne,RB,5,Coby,Coby,17.075,anchor,False,0
35,Tony Pollard,RB,3,Brad,Sam,15.530161739130437,stars_and_scrubs,False,0
36,Mike Evans,WR,4,Brandon,James,13.227443478260868,price_enforcer,False,0
37,Rachaad White,RB,5,Evan,Evan,12.991304347826086,anchor,False,0
38,TJ Hockenson,TE,1,Shane,Ryan J,12.439130434782609,balanced,False,0
39,Davante Adams,WR,3,CJ,CJ,12.0,positional_extremist_wr,False,0
40,Sam LaPorta,TE,1,Ryan J,Brandon,15.625680695652175,tier_controller,False,0
41,Zach Charbonnet,RB,5,James,Reid,14.018319999999997,tier_controller,False,0
42,Tee Higgins,WR,2,Travis,James,11.592292173913044,price_enforcer,False,0
43,Josh Downs,WR,5,Reid,Coby,12.842608695652174,anchor,False,0
44,Garrett Wilson,WR,3,Jason,Shane,10.964076086956522,positional_extremist_rb,False,0
45,Austin Ekeler,RB,6,Sam,Evan,10.73944,anchor,False,0
46,Drake Maye,QB,1,Coby,Ryan J,10.562296608695654,balanced,False,0
47,Matthew Golden,WR,6,Brad,Brandon,10.221568000000001,tier_controller,False,0
48,CJ Stroud,QB,2,Brandon,Coby,9.649259999999998,anchor,False,0
49,Jameson Williams,WR,4,Evan,James,8.569391304347826,price_enforcer,False,0
50,Nick Chubb,RB,6,Shane,Evan,7.545736956521739,anchor,False,0
51,Bill Croskey-Merritt,RB,5,CJ,James,38.08,price_enforcer,True,0
52,Jalen Hurts,QB,1,Ryan J,Reid,8.2347325,tier_controller,False,0
53,AJ Brown,WR,5,Travis,Ryan J,6.927544347826087,balanced,False,0
54,Josh Allen,QB,1,Reid,Coby,6.251380434782607,anchor,False,0
55,JK Dobbins,RB,6,Jason,Evan,5.88135652173913,anchor,False,0
56,Jordan Addison,WR,7,Sam,Brandon,6.375401739130436,tier_controller,False,0
57,Jayden Reed,WR,6,Coby,Reid,6.143198608695654,tier_controller,False,0
58,Kenneth Walker,RB,7,Brad,Ryan J,5.0,balanced,False,0
59,Michael Pittman Jr,WR,6,Brandon,Coby,4.888565217391304,anchor,False,0
60,Alvin Kamara,RB,7,Evan,Evan,5.293169999999999,anchor,False,0
61,Lamar Jackson,QB,1,Shane,Travis,4.089704347826087,emotional,False,0
62,Dalton Kincaid,TE,3,CJ,Coby,4.4415225,anchor,False,0
63,Stefon Diggs,WR,7,Ryan J,Ryan J,17.73,balanced,True,0
64,Makai Lemon,WR,8,Travis,Brandon,4.046580869565217,tier_controller,False,0
65,Courtland Sutton,WR,6,Reid,Evan,3.479478260869565,anchor,False,0
66,Dallas Goedert,TE,2,Jason,Reid,3.8952626086956523,tier_controller,False,0
67,Dylan Sampson,RB,8,Sam,Coby,3.3635249999999997,anchor,False,0
68,Noah Gray,TE,6,Coby,Coby,1.0,anchor,False,0
69,AD Mitchell,WR,9,Brad,Evan,3.16575,anchor,False,0
70,Tommy Tremble,TE,5,Brandon,Brandon,1.0,tier_controller,False,0
71,Romeo Doubs,WR,8,Evan,Reid,2.5374052173913046,tier_controller,False,0
72,Tyler Allgeier,RB,7,Shane,Evan,2.4279749999999996,anchor,False,0
73,Oronde Gadsden,TE,19,CJ,CJ,1.0,positional_extremist_wr,False,0
74,Mark Andrews,TE,2,Travis,Coby,2.3209124999999995,anchor,False,0
75,Quentin Johnston,WR,7,Reid,Travis,2.1799999999999997,emotional,False,0
76,Durham Smythe,TE,13,Jason,Jason,1.0,stars_and_scrubs,False,0
77,Tua Tagovailoa,QB,13,Sam,Sam,1.0,stars_and_scrubs,False,0
78,Jajuan Jennings,WR,9,Coby,Brandon,2.2251631304347828,tier_controller,False,0
79,Cam Ward,QB,14,Brad,Brad,1.0,stars_and_scrubs,False,0
80,Keaton Mitchell,RB,7,Brandon,Evan,8.47,anchor,True,0
81,Amon-Ra St Brown,WR,5,Shane,Coby,8.17,anchor,True,0
