team,player,position,salary_2025,tag_used,on_ir,keeper_price_2026,keep_source
Sam,David Montgomery,RB,35.0,False,False,45.0,neutral_alpha
Sam,Tyjae Spears,RB,3.0,False,False,13.0,neutral_alpha
Brandon,Jonathan Taylor,RB,41.0,False,False,51.0,neutral_alpha
Brandon,Justin Jefferson,WR,36.0,False,False,46.0,neutral_alpha
Brandon,Breece Hall,RB,21.0,False,False,31.0,neutral_alpha
Brandon,Brock Bowers,TE,6.0,False,False,16.0,neutral_alpha
Brandon,Christian McCaffrey,RB,36.0,False,False,46.0,neutral_alpha
Brandon,Cam Skattebo,RB,18.0,False,False,28.0,neutral_alpha
Coby,Derrick Henry,RB,41.0,False,False,51.0,neutral_alpha
Coby,Kyren Williams,RB,21.0,False,False,31.0,neutral_alpha
Coby,TreVeyon Henderson,RB,1.0,False,False,11.0,neutral_alpha
Coby,Quinshon Judkins,RB,1.0,False,False,11.0,neutral_alpha
Brad,Jaxon Smith-Njigba,WR,21.0,False,False,31.0,neutral_alpha
Brad,Tyler Warren,TE,1.0,False,False,11.0,neutral_alpha
Brad,Alec Pierce,WR,1.0,False,False,11.0,neutral_alpha
Reid,Chris Olave,WR,31.0,False,False,41.0,neutral_alpha
Reid,Javonte Williams,RB,24.0,False,False,34.0,neutral_alpha
Evan,Drake London,WR,26.0,False,False,36.0,neutral_alpha
Evan,Saquon Barkley,RB,36.0,False,False,46.0,neutral_alpha
Evan,George Pickens,WR,31.0,False,False,41.0,neutral_alpha
Evan,Puka Nacua,WR,21.0,False,False,31.0,neutral_alpha
Evan,Emeka Egbuka,WR,1.0,False,False,11.0,neutral_alpha
James,Zay Flowers,WR,21.0,False,False,31.0,neutral_alpha
James,Colston Loveland,TE,1.0,False,False,11.0,neutral_alpha
James,Wan'Dale Robinson,WR,1.0,False,False,11.0,neutral_alpha
James,Rico Dowdle,RB,3.0,False,False,13.0,neutral_alpha
Ryan J,Ashton Jeanty,RB,1.0,False,False,11.0,neutral_alpha
Ryan J,Michael Wilson,WR,1.0,False,False,11.0,neutral_alpha
CJ,Ja'Marr Chase,WR,36.0,False,False,46.0,neutral_alpha
CJ,Chase Brown,RB,21.0,False,False,31.0,neutral_alpha
CJ,Omarion Hampton,RB,1.0,False,False,11.0,neutral_alpha
CJ,D'Andre Swift,RB,42.0,False,False,52.0,neutral_alpha
CJ,Parker Washington,WR,1.0,False,False,11.0,neutral_alpha
Jason,CeeDee Lamb,WR,36.0,False,False,46.0,neutral_alpha
Jason,Bijan Robinson,RB,16.0,False,False,26.0,neutral_alpha
Jason,Jahmyr Gibbs,RB,21.0,False,False,31.0,neutral_alpha
Shane,Rome Odunze,WR,6.0,False,False,16.0,neutral_alpha
Shane,Kyle Monangai,RB,1.0,False,False,11.0,neutral_alpha
Shane,Blake Corum,RB,1.0,False,False,11.0,neutral_alpha
Shane,Christian Watson,WR,1.0,False,False,11.0,neutral_alpha
Travis,Malik Nabers,WR,6.0,False,False,16.0,neutral_alpha
Travis,Woody Marks,RB,1.0,False,False,11.0,neutral_alpha
