player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,hypothetical_open_market_value,historical_salary_if_known,notes
Jeremiyah Love,RB,ARI,202.4,150.1975,137.0,69.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #42, tier 5"
Josh Jacobs,RB,,189.35,143.6725,126.0,67.0,89.0,
Bucky Irving,RB,,175.8,123.31,102.0,54.0,77.0,
Jadarian Price,RB,SEA,169.9,120.36000000000001,101.0,51.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #70, tier 6"
Bhayshul Tuten,RB,,160.4,115.61000000000001,95.0,48.0,,no salary on record
Nico Collins,WR,,214.51,122.22999999999999,88.0,44.0,26.0,tagged 2025
Jaylen Warren,RB,,162.0,106.86,83.0,43.0,54.0,
Rhamondre Stevenson,RB,,157.55,104.635,80.0,41.0,32.0,
Jonathon Brooks,RB,CAR,148.6,100.16,78.0,39.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #89, tier 7"
Tony Pollard,RB,,143.2,97.46,75.0,39.0,70.0,
Rashee Rice,WR,,197.11,96.1825,72.0,38.0,55.0,
DeVonta Smith,WR,,189.84,92.54750000000001,71.0,38.0,85.0,
James Cook,RB,,,,71.0,75.0,79.0,
RJ Harvey,RB,,136.65,94.185,71.0,38.0,70.0,
Tetairoa McMillan,WR,CAR,184.82,90.0375,68.0,34.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #34, tier 4"
Chuba Hubbard,RB,,143.25,89.78,65.0,33.0,27.0,
Jaylen Waddle,WR,,177.9,86.57750000000001,64.0,35.0,77.0,
Kenny Gainwell,RB,TB,136.45,86.38,64.0,32.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #98, tier 8"
Jordan Mason,RB,,137.2,86.755,63.0,33.0,43.0,
Trey McBride,TE,,188.05,86.65,61.0,30.0,21.0,
Tee Higgins,WR,,181.9,82.58875,60.0,32.0,72.0,
Jacory Croskey-Merritt,RB,WAS,127.0,81.655,59.0,30.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #113, tier 8"
Aaron Jones Sr,RB,,,,59.0,62.0,66.0,
Rachaad White,RB,WAS,127.05,81.68,59.0,30.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #111, tier 8"
Ladd McConkey,WR,,165.85,80.55250000000001,58.0,31.0,57.0,
Terry McLaurin,WR,,173.93,78.60375,57.0,31.0,83.0,
Garrett Wilson,WR,,163.37,79.3125,50.0,27.0,21.0,tagged 2025
Davante Adams,WR,,161.35,72.31375,49.0,26.0,41.0,
DJ Moore,WR,,154.17,68.72375,48.0,26.0,75.0,
Deebo Samuel,WR,,,,48.0,50.0,53.0,
Mike Evans,WR,,164.95,67.1,45.0,23.0,,no salary on record
TJ Hockenson,TE,,,,43.0,46.0,48.0,
Josh Allen,QB,,328.82,60.215,40.0,22.0,64.0,
Jameson Williams,WR,,156.45,62.849999999999994,40.0,22.0,31.0,
Chris Godwin Jr,WR,,,,37.0,39.0,41.0,
Zach Charbonnet,RB,,,,36.0,38.0,40.0,
Travis Etienne,RB,,,,35.0,37.0,39.0,
Nick Chubb,RB,,,,34.0,35.0,37.0,
Carnell Tate,WR,TEN,140.03,54.64,34.0,18.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #66, tier 6"
JK Dobbins,RB,,,,34.0,35.0,37.0,
AJ Brown,WR,,,,33.0,34.0,36.0,
Amon-Ra St Brown,WR,,,,33.0,34.0,36.0,
DK Metcalf,WR,,148.53,51.52875,32.0,17.0,36.0,
Austin Ekeler,RB,,,,31.0,33.0,34.0,
Josh Downs,WR,,145.07,49.79875,30.0,15.0,26.0,
Brian Robinson Jr,RB,,,,28.0,30.0,31.0,
Kenneth Walker,RB,,,,28.0,30.0,31.0,
Michael Pittman Jr,WR,,,,27.0,29.0,30.0,
Courtland Sutton,WR,,137.35,45.93875,27.0,13.0,,no salary on record
Lamar Jackson,QB,,289.92,40.765000000000015,25.0,15.0,63.0,
Jayden Reed,WR,,143.93,43.2625,24.0,13.0,16.0,
Tucker Kraft,TE,,143.34,41.029999999999994,22.0,12.0,11.0,
Matthew Golden,WR,,127.74,35.1675,22.0,14.0,70.0,
Sam LaPorta,TE,,139.7,39.20999999999999,22.0,12.0,21.0,
Quentin Johnston,WR,,125.4,39.963750000000005,22.0,11.0,1.0,
Jakobi Meyers,WR,,131.61,37.102500000000006,21.0,12.0,39.0,
Jordan Addison,WR,,131.03,36.8125,20.0,11.0,21.0,
Stefon Diggs,WR,,130.42,36.50749999999999,20.0,11.0,,no salary on record
Keaton Mitchell,RB,,90.45,35.145833333333336,19.0,12.0,21.0,
Khalil Shakir,WR,,122.83,32.7125,19.0,12.0,53.0,
Jalen Hurts,QB,,297.46,30.51249999999999,18.0,11.0,57.0,
Drake Maye,QB,,296.32,34.035,18.0,10.0,20.0,
Joe Burrow,QB,,282.7,27.224999999999994,17.0,11.0,69.0,
Tyler Allgeier,RB,,86.65,33.24583333333334,17.0,11.0,15.0,
Jalen Coker,WR,,124.35,33.4725,17.0,9.0,3.0,
Romeo Doubs,WR,,122.25,32.4225,17.0,9.0,1.0,
Alvin Kamara,RB,,68.7,24.270833333333336,16.0,12.0,88.0,
Jayden Daniels,QB,,293.28,28.422499999999985,16.0,11.0,26.0,tagged 2025
Makai Lemon,WR,PHI,119.03,30.8125,16.0,9.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #108, tier 8"
KC Concepcion,WR,CLE,118.36,30.4775,16.0,9.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #117, tier 8"
Isiah Pacheco,RB,,73.93,26.885833333333338,16.0,12.0,66.0,
DeVon Achane,RB,,,,15.0,16.0,16.0,
George Kittle,TE,,130.46,24.758333333333333,15.0,10.0,64.0,
CJ Stroud,QB,,,,15.0,16.0,16.0,
Dylan Sampson,RB,CLE,79.3,29.570833333333333,15.0,9.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #142, tier 9"
Ricky Pearsall,WR,,,,15.0,16.0,16.0,
Travis Kelce,TE,,129.94,24.498333333333328,13.0,8.0,36.0,
Mike Washington Jr.,RB,LV,80.65,25.167857142857148,12.0,6.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #163, tier 10"
Jajuan Jennings,WR,,,,11.0,11.0,11.0,
Jonah Coleman,RB,DEN,67.3,23.570833333333333,11.0,7.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #148, tier 9"
MarShawn Lloyd,RB,GB,75.39,22.537857142857145,11.0,6.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #162, tier 10"
Tyrone Tracy Jr,RB,,,,11.0,11.0,11.0,
Mark Andrews,TE,,128.18,19.596666666666668,11.0,7.0,43.0,
AD Mitchell,WR,,,,11.0,11.0,11.0,
Jayden Higgins,WR,,,,10.0,10.0,10.0,
Tank Bigsby,RB,PHI,68.64,19.162857142857145,9.0,5.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #159, tier 10"
Braelon Allen,RB,,68.77,19.227857142857143,9.0,5.0,,no salary on record; on IR
Dallas Goedert,TE,,119.45,19.25333333333333,9.0,5.0,,no salary on record
Isaiah Likely,TE,NYG,115.25,17.15333333333333,8.0,4.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #122, tier 8"
Jake Ferguson,TE,,117.94,18.498333333333328,8.0,5.0,6.0,
Xavier Worthy,WR,,118.5,17.37642857142857,8.0,5.0,11.0,
Caleb Williams,QB,,271.0,17.2825,8.0,5.0,11.0,
Dalton Kincaid,TE,,118.1,18.578333333333326,8.0,5.0,6.0,
Dak Prescott,QB,,278.54,15.300000000000022,7.0,4.0,8.0,
