player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,historical_salary_if_known,notes
Aaron Jones Sr,RB,,,,68.0,66.0,
James Cook,RB,,285.7,255.2,59.0,79.0,
Josh Jacobs,RB,,219.1,188.6,56.0,89.0,
Deebo Samuel,WR,,,,54.0,53.0,
Jonathan Taylor,RB,,339.3,308.8,49.0,41.0,
TJ Hockenson,TE,,,,49.0,48.0,
Bill Croskey-Merritt,RB,,,,47.0,46.0,
RJ Harvey,RB,,183.1,152.6,45.0,70.0,
DeVonta Smith,WR,,163.3,94.80000000000001,45.0,85.0,
Tony Pollard,RB,,169.3,138.8,43.0,70.0,
Jaylen Waddle,WR,,162.12,93.62,42.0,77.0,
Alvin Kamara,RB,,84.2,53.7,42.0,88.0,
Chris Godwin Jr,WR,,,,42.0,41.0,
Tee Higgins,WR,,182.1,113.6,42.0,72.0,
Bucky Irving,RB,,123.5,93.0,41.0,77.0,
Josh Allen,QB,,364.62,138.04,41.0,64.0,
Jaylen Warren,RB,,197.1,166.6,40.0,54.0,
DJ Moore,WR,,145.18,76.68,39.0,75.0,
Travis Etienne,RB,,235.9,205.4,38.0,39.0,
AJ Brown,WR,,,,37.0,36.0,
Terry McLaurin,WR,,95.2,26.700000000000003,37.0,83.0,
Christian McCaffrey,RB,SF,365.6,335.1,35.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #8, tier 2"
Bijan Robinson,RB,ATL,331.3,300.8,32.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #4, tier 1"
Ladd McConkey,WR,,147.9,79.4,32.0,57.0,
Isiah Pacheco,RB,,77.8,47.3,32.0,66.0,
Jahmyr Gibbs,RB,DET,328.4,297.9,31.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #2, tier 1"
Jalen Hurts,QB,,299.06,72.47999999999999,31.0,57.0,
George Kittle,TE,,133.0,38.0,30.0,64.0,
Davante Adams,WR,,192.9,124.4,30.0,41.0,
Matthew Golden,WR,,55.5,0.0,29.0,70.0,
Rashee Rice,WR,,123.6,55.099999999999994,28.0,55.0,
Joe Burrow,QB,,134.46,0.0,28.0,69.0,
Khalil Shakir,WR,,130.4,61.900000000000006,28.0,53.0,
De'Von Achane,RB,MIA,289.3,258.8,27.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #20, tier 3"
Jordan Mason,RB,,121.9,91.4,27.0,43.0,
Puka Nacua,WR,LAR,310.5,242.0,26.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #3, tier 1"
Lamar Jackson,QB,,214.86,0.0,26.0,63.0,
Derrick Henry,RB,BAL,272.0,241.5,26.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #37, tier 5"
Cooper Kupp,WR,,92.8,24.299999999999997,25.0,55.0,
Jaxon Smith-Njigba,WR,SEA,300.4,231.89999999999998,25.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #5, tier 1"
James Conner,RB,,29.3,0.0,24.0,59.0,
