match,seat,genome,player,position,price,projected_points,is_starting
0,Brad,gen15_elite0,Jaxon Smith-Njigba,WR,31.0,253.78,True
0,Brad,gen15_elite0,Tyler Warren,TE,11.0,162.68,True
0,Brad,gen15_elite0,Alec Pierce,WR,11.0,154.64,True
0,Brad,gen15_elite0,Drake Maye,QB,30.0,296.32,False
0,Brad,gen15_elite0,Jalen Hurts,QB,22.34185869565217,297.46,False
0,Brad,gen15_elite0,Bill Croskey-Merritt,RB,20.16702221591906,459.64799999999997,True
0,Brad,gen15_elite0,Brian Robinson Jr,RB,20.69578161602767,77.14,True
0,Brad,gen15_elite0,CJ Stroud,QB,22.184205434782605,245.14,False
0,Brad,gen15_elite0,Josh Allen,QB,19.90693739130435,328.82,True
0,Brad,gen15_elite0,Garrett Wilson,WR,15.0,163.37,True
0,Brad,gen15_elite0,Mike Evans,WR,14.343970975277228,164.95,True
0,Brad,gen15_elite0,Makai Lemon,WR,12.641795174673547,119.03,False
0,Brad,gen15_elite0,Courtland Sutton,WR,10.779851734336697,137.35,False
0,Brad,gen15_elite0,AJ Brown,WR,10.932872173913044,194.9,True
0,Brad,gen15_elite0,Michael Pittman Jr,WR,148.01,137.83,False
1,Brandon,gen15_elite0,Jonathan Taylor,RB,51.0,256.35,False
1,Brandon,gen15_elite0,Justin Jefferson,WR,46.0,221.18,False
1,Brandon,gen15_elite0,Breece Hall,RB,31.0,201.5,False
1,Brandon,gen15_elite0,Brock Bowers,TE,16.0,177.91,False
1,Brandon,gen15_elite0,Christian McCaffrey,RB,46.0,265.35,False
1,Brandon,gen15_elite0,Cam Skattebo,RB,28.0,186.4,False
1,Brandon,gen15_elite0,Jalen Hurts,QB,30.883985,297.46,False
1,Brandon,gen15_elite0,Josh Allen,QB,20.060793043478263,328.82,False
1,Brandon,gen15_elite0,Drake Maye,QB,18.625999999999998,296.32,False
1,Brandon,gen15_elite0,CJ Stroud,QB,10.148111304347827,245.14,False
1,Brandon,gen15_elite0,Jayden Daniels,QB,10.001506956521741,293.28,False
1,Brandon,gen15_elite0,Lamar Jackson,QB,9.624204347826087,289.92,False
1,Brandon,gen15_elite0,Joe Burrow,QB,8.07304347826087,282.7,False
1,Brandon,gen15_elite0,Caleb Williams,QB,6.4715275,271.0,False
1,Brandon,gen15_elite0,AD Mitchell,WR,68.12,120.38399999999999,False
2,CJ,gen15_elite0,Ja'Marr Chase,WR,46.0,266.33,True
2,CJ,gen15_elite0,Chase Brown,RB,31.0,227.25,True
2,CJ,gen15_elite0,Omarion Hampton,RB,11.0,205.65,True
2,CJ,gen15_elite0,D'Andre Swift,RB,52.0,180.15,True
2,CJ,gen15_elite0,Parker Washington,WR,11.0,162.09,True
2,CJ,gen15_elite0,Jalen Hurts,QB,37.18071373913044,297.46,False
2,CJ,gen15_elite0,Josh Allen,QB,25.951284347826086,328.82,True
2,CJ,gen15_elite0,CJ Stroud,QB,31.729089130434783,245.14,False
2,CJ,gen15_elite0,Drake Maye,QB,23.908797826086953,296.32,False
2,CJ,gen15_elite0,Lamar Jackson,QB,10.797011304347828,289.92,False
2,CJ,gen15_elite0,Bill Croskey-Merritt,RB,8.627041832961925,459.64799999999997,True
2,CJ,gen15_elite0,Jayden Reed,WR,7.971968243950488,143.93,False
2,CJ,gen15_elite0,Amon-Ra St Brown,WR,7.310034851307658,247.22,True
2,CJ,gen15_elite0,JK Dobbins,RB,6.768473159898876,134.15,False
2,CJ,gen15_elite0,Mark Andrews,TE,88.75,128.18,True
3,Coby,gen15_elite0,Derrick Henry,RB,51.0,227.4,True
3,Coby,gen15_elite0,Kyren Williams,RB,31.0,196.2,True
3,Coby,gen15_elite0,TreVeyon Henderson,RB,11.0,158.6,True
3,Coby,gen15_elite0,Quinshon Judkins,RB,11.0,177.8,True
3,Coby,gen15_elite0,Drake Maye,QB,29.35385026086957,296.32,False
3,Coby,gen15_elite0,Josh Allen,QB,21.126085652173913,328.82,True
3,Coby,gen15_elite0,Jordan Mason,RB,18.579701533966446,137.2,False
3,Coby,gen15_elite0,Riley Leonard,QB,1.0,11.86,False
3,Coby,gen15_elite0,CJ Stroud,QB,20.79949456521739,245.14,False
3,Coby,gen15_elite0,TJ Hockenson,TE,15.241695438594547,103.35,True
3,Coby,gen15_elite0,Bill Croskey-Merritt,RB,13.0,459.64799999999997,True
