player,canonical_player_id,position,nfl_team,source_roster,source_status,verified_nfl_regular_season_debut,league_veteran_status,league_college_rights_status,conversion_status,final_auction_status,auction_eligible,eligibility_reason,evidence_source,verification_date,confidence,warning
Garrett Wilson,garrett wilson,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Austin Ekeler,austin ekeler,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
CJ Stroud,cj stroud,QB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
David Montgomery,david montgomery,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Travis Kelce,travis kelce,TE,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
DJ Moore,dj moore,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Deebo Samuel,deebo samuel,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jaylen Waddle,jaylen waddle,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Cooper Kupp,cooper kupp,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Tyjae Spears,tyjae spears,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jaxson Dart,jaxson dart,QB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Zach Ertz,zach ertz,TE,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Will Shipley,will shipley,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Michael Carter,michael carter,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
JJ McCarthy,jj mccarthy,QB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Van Jefferson,van jefferson,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jonathan Taylor,jonathan taylor,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Justin Jefferson,justin jefferson,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Nico Collins,nico collins,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Breece Hall,breece hall,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Brock Bowers,brock bowers,TE,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Christian McCaffrey,christian mccaffrey,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Travis Hunter,travis hunter,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Cam Skattebo,cam skattebo,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Theo Johnson,theo johnson,TE,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Brian Robinson Jr,brian robinson,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Darius Slayton,darius slayton,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Colby Parkinson,colby parkinson,TE,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Josh Allen,josh allen,QB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Derrick Henry,derrick henry,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Kyren Williams,kyren williams,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Kyler Murray,kyler murray,QB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Brian Thomas Jr,brian thomas,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
