seed,team,archetype,starting_budget,unspent_cash,unspent_pct_of_starting,n_players_unsold_this_draft
0,Brad,price_enforcer,281,227.59,0.8099288256227758,0
0,Brandon,positional_extremist_wr,184,126.48,0.6873913043478261,0
0,CJ,positional_extremist_rb,264,93.05,0.3524621212121212,0
0,Coby,value_purist,274,201.63,0.7358759124087592,0
0,Evan,value_purist,184,170.42,0.926195652173913,0
0,James,stars_and_scrubs,297,284.22,0.956969696969697,0
0,Jason,stars_and_scrubs,209,10.56,0.05052631578947369,0
0,Reid,stars_and_scrubs,260,169.02,0.6500769230769231,0
0,Ryan J,balanced,257,241.0,0.9377431906614786,0
0,Sam,price_enforcer,223,168.09,0.7537668161434977,0
0,Shane,positional_extremist_wr,324,294.32,0.908395061728395,0
0,Travis,emotional,264,133.2,0.5045454545454545,0
1,Brad,positional_extremist_rb,281,121.93,0.43391459074733096,0
1,Brandon,positional_extremist_rb,184,40.97,0.22266304347826085,0
1,CJ,tier_controller,264,252.21,0.9553409090909091,0
1,Coby,emotional,274,216.19,0.789014598540146,0
1,Evan,stars_and_scrubs,184,169.61,0.9217934782608697,0
1,James,balanced,297,204.51,0.6885858585858585,0
1,Jason,price_enforcer,209,102.59,0.4908612440191388,0
1,Reid,emotional,260,240.0,0.9230769230769231,0
1,Ryan J,value_purist,257,243.15,0.9461089494163424,0
1,Sam,value_purist,223,214.0,0.9596412556053812,0
1,Shane,price_enforcer,324,224.07,0.691574074074074,0
1,Travis,anchor,264,187.0,0.7083333333333334,0
2,Brad,price_enforcer,281,87.52,0.3114590747330961,0
2,Brandon,value_purist,184,159.41,0.8663586956521739,0
2,CJ,stars_and_scrubs,264,127.33,0.48231060606060605,0
2,Coby,value_purist,274,250.79,0.9152919708029197,0
2,Evan,anchor,184,175.0,0.9510869565217391,0
2,James,price_enforcer,297,166.31,0.55996632996633,0
2,Jason,positional_extremist_rb,209,163.25,0.7811004784688995,0
2,Reid,stars_and_scrubs,260,247.95,0.9536538461538461,0
2,Ryan J,anchor,257,221.26,0.8609338521400778,0
2,Sam,positional_extremist_wr,223,100.11,0.4489237668161435,0
2,Shane,price_enforcer,324,273.54,0.8442592592592594,0
2,Travis,tier_controller,264,81.71,0.30950757575757576,0
3,Brad,price_enforcer,281,210.57,0.7493594306049822,0
3,Brandon,stars_and_scrubs,184,168.0,0.9130434782608695,0
3,CJ,balanced,264,241.2,0.9136363636363636,0
3,Coby,value_purist,274,261.31,0.9536861313868613,0
3,Evan,balanced,184,167.74,0.9116304347826087,0
3,James,price_enforcer,297,288.0,0.9696969696969697,0
3,Jason,price_enforcer,209,186.13,0.8905741626794258,0
3,Reid,positional_extremist_wr,260,244.0,0.9384615384615385,0
3,Ryan J,stars_and_scrubs,257,243.78,0.9485603112840467,0
3,Sam,stars_and_scrubs,223,205.0,0.9192825112107623,0
3,Shane,value_purist,324,303.33,0.9362037037037036,0
3,Travis,anchor,264,186.67,0.7070833333333333,0
4,Brad,tier_controller,281,266.0,0.9466192170818505,10
4,Brandon,emotional,184,123.43,0.6708152173913043,10
4,CJ,price_enforcer,264,219.8,0.8325757575757576,10
4,Coby,positional_extremist_rb,274,265.0,0.9671532846715328,10
4,Evan,emotional,184,175.0,0.9510869565217391,10
4,James,emotional,297,243.0,0.8181818181818182,10
4,Jason,emotional,209,117.64,0.5628708133971292,10
4,Reid,stars_and_scrubs,260,239.0,0.9192307692307692,10
4,Ryan J,positional_extremist_rb,257,241.0,0.9377431906614786,10
4,Sam,positional_extremist_wr,223,166.0,0.7443946188340808,10
4,Shane,value_purist,324,307.15,0.9479938271604937,10
4,Travis,anchor,264,236.55,0.8960227272727274,10
5,Brad,tier_controller,281,264.27,0.9404626334519572,0
5,Brandon,price_enforcer,184,105.35,0.5725543478260869,0
5,CJ,stars_and_scrubs,264,57.12,0.21636363636363634,0
5,Coby,price_enforcer,274,254.21,0.9277737226277373,0
5,Evan,positional_extremist_rb,184,175.0,0.9510869565217391,0
5,James,positional_extremist_rb,297,196.71,0.6623232323232323,0
5,Jason,positional_extremist_wr,209,27.35,0.13086124401913876,0
5,Reid,value_purist,260,244.0,0.9384615384615385,0
5,Ryan J,emotional,257,225.18,0.8761867704280156,0
5,Sam,stars_and_scrubs,223,93.45,0.4190582959641256,0
5,Shane,value_purist,324,310.0,0.9567901234567902,0
5,Travis,anchor,264,141.21,0.5348863636363637,0
6,Brad,positional_extremist_rb,281,38.8,0.1380782918149466,0
6,Brandon,positional_extremist_rb,184,14.76,0.08021739130434782,0
6,CJ,positional_extremist_rb,264,103.91,0.3935984848484848,0
6,Coby,anchor,274,250.23,0.9132481751824817,0
6,Evan,emotional,184,158.02,0.8588043478260871,0
6,James,anchor,297,272.34,0.9169696969696969,0
6,Jason,positional_extremist_wr,209,8.28,0.03961722488038277,0
6,Reid,anchor,260,74.41,0.2861923076923077,0
6,Ryan J,positional_extremist_rb,257,242.0,0.9416342412451362,0
6,Sam,emotional,223,171.38,0.7685201793721973,0
6,Shane,balanced,324,315.0,0.9722222222222222,0
6,Travis,positional_extremist_wr,264,19.87,0.07526515151515152,0
7,Brad,emotional,281,222.42,0.7915302491103202,0
7,Brandon,positional_extremist_wr,184,157.69,0.8570108695652173,0
7,CJ,tier_controller,264,240.91,0.9125378787878787,0
7,Coby,emotional,274,186.47,0.6805474452554745,0
7,Evan,positional_extremist_wr,184,122.4,0.6652173913043479,0
7,James,tier_controller,297,245.61,0.826969696969697,0
7,Jason,price_enforcer,209,146.0,0.6985645933014354,0
7,Reid,value_purist,260,243.22,0.9354615384615385,0
7,Ryan J,stars_and_scrubs,257,241.0,0.9377431906614786,0
7,Sam,value_purist,223,207.0,0.9282511210762332,0
7,Shane,value_purist,324,311.0,0.9598765432098766,0
7,Travis,price_enforcer,264,253.89,0.9617045454545454,0
8,Brad,tier_controller,281,264.18,0.9401423487544485,0
8,Brandon,value_purist,184,165.88,0.9015217391304348,0
8,CJ,value_purist,264,254.76,0.965,0
8,Coby,emotional,274,251.0,0.916058394160584,0
8,Evan,balanced,184,169.79,0.9227717391304348,0
8,James,value_purist,297,283.12,0.9532659932659933,0
8,Jason,positional_extremist_wr,209,82.49,0.394688995215311,0
8,Reid,price_enforcer,260,179.05,0.6886538461538462,0
8,Ryan J,positional_extremist_wr,257,241.0,0.9377431906614786,0
8,Sam,price_enforcer,223,174.31,0.7816591928251121,0
8,Shane,stars_and_scrubs,324,257.08,0.7934567901234567,0
8,Travis,anchor,264,122.97,0.46579545454545457,0
9,Brad,anchor,281,214.34,0.7627758007117438,0
9,Brandon,price_enforcer,184,171.18,0.9303260869565217,0
9,CJ,emotional,264,153.87,0.5828409090909091,0
9,Coby,value_purist,274,265.0,0.9671532846715328,0
9,Evan,balanced,184,167.55,0.9105978260869566,0
9,James,positional_extremist_wr,297,280.0,0.9427609427609428,0
9,Jason,tier_controller,209,93.47,0.44722488038277514,0
9,Reid,tier_controller,260,109.73,0.42203846153846153,0
9,Ryan J,positional_extremist_wr,257,38.0,0.14785992217898833,0
9,Sam,tier_controller,223,88.76,0.39802690582959643,0
9,Shane,emotional,324,233.33,0.7201543209876543,0
9,Travis,emotional,264,103.87,0.39344696969696974,0
10,Brad,tier_controller,281,47.14,0.1677580071174377,0
10,Brandon,emotional,184,115.33,0.6267934782608695,0
10,CJ,value_purist,264,255.0,0.9659090909090909,0
10,Coby,balanced,274,131.64,0.4804379562043795,0
10,Evan,price_enforcer,184,165.19,0.8977717391304347,0
10,James,price_enforcer,297,279.0,0.9393939393939394,0
10,Jason,positional_extremist_rb,209,191.07,0.9142105263157895,0
10,Reid,balanced,260,228.32,0.8781538461538462,0
10,Ryan J,price_enforcer,257,173.02,0.6732295719844359,0
10,Sam,positional_extremist_rb,223,94.69,0.4246188340807175,0
10,Shane,balanced,324,145.34,0.4485802469135803,0
10,Travis,balanced,264,206.03,0.7804166666666666,0
11,Brad,balanced,281,66.68,0.23729537366548045,0
11,Brandon,balanced,184,169.22,0.9196739130434782,0
11,CJ,price_enforcer,264,133.28,0.5048484848484849,0
11,Coby,positional_extremist_rb,274,176.46,0.644014598540146,0
11,Evan,positional_extremist_wr,184,175.0,0.9510869565217391,0
11,James,positional_extremist_wr,297,267.56,0.9008754208754208,0
11,Jason,tier_controller,209,187.16,0.8955023923444976,0
11,Reid,stars_and_scrubs,260,243.27,0.9356538461538462,0
11,Ryan J,positional_extremist_rb,257,40.03,0.15575875486381324,0
11,Sam,balanced,223,48.47,0.21735426008968609,0
11,Shane,anchor,324,196.27,0.6057716049382716,0
11,Travis,emotional,264,41.77,0.15821969696969698,0
12,Brad,positional_extremist_wr,281,218.0,0.7758007117437722,0
12,Brandon,value_purist,184,148.17,0.8052717391304347,0
12,CJ,emotional,264,251.64,0.9531818181818181,0
12,Coby,emotional,274,118.07,0.43091240875912407,0
12,Evan,stars_and_scrubs,184,19.88,0.10804347826086956,0
12,James,balanced,297,201.41,0.6781481481481482,0
12,Jason,balanced,209,107.41,0.5139234449760766,0
12,Reid,balanced,260,245.98,0.946076923076923,0
12,Ryan J,positional_extremist_wr,257,248.0,0.9649805447470817,0
12,Sam,anchor,223,169.52,0.7601793721973095,0
12,Shane,positional_extremist_rb,324,244.93,0.7559567901234568,0
12,Travis,value_purist,264,244.62,0.9265909090909091,0
13,Brad,emotional,281,210.58,0.7493950177935943,16
13,Brandon,price_enforcer,184,173.84,0.9447826086956522,16
13,CJ,price_enforcer,264,201.0,0.7613636363636364,16
13,Coby,price_enforcer,274,235.88,0.8608759124087592,16
13,Evan,stars_and_scrubs,184,175.0,0.9510869565217391,16
13,James,price_enforcer,297,279.0,0.9393939393939394,16
13,Jason,emotional,209,38.48,0.18411483253588515,16
13,Reid,value_purist,260,251.0,0.9653846153846154,16
13,Ryan J,balanced,257,226.45,0.8811284046692607,16
13,Sam,stars_and_scrubs,223,169.79,0.7613901345291479,16
13,Shane,price_enforcer,324,286.88,0.885432098765432,16
13,Travis,emotional,264,186.24,0.7054545454545454,16
14,Brad,balanced,281,98.99,0.3522775800711744,0
14,Brandon,price_enforcer,184,166.95,0.9073369565217391,0
14,CJ,positional_extremist_wr,264,76.83,0.29102272727272727,0
14,Coby,anchor,274,260.8,0.9518248175182482,0
14,Evan,stars_and_scrubs,184,168.81,0.917445652173913,0
14,James,tier_controller,297,270.06,0.9092929292929293,0
14,Jason,anchor,209,198.05,0.9476076555023925,0
14,Reid,price_enforcer,260,236.16,0.9083076923076923,0
14,Ryan J,anchor,257,222.0,0.8638132295719845,0
14,Sam,positional_extremist_wr,223,20.25,0.09080717488789238,0
14,Shane,balanced,324,178.24,0.5501234567901235,0
14,Travis,positional_extremist_rb,264,219.7,0.8321969696969697,0
15,Brad,emotional,281,179.5,0.6387900355871886,12
15,Brandon,tier_controller,184,57.79,0.3140760869565217,12
15,CJ,tier_controller,264,75.04,0.28424242424242424,12
15,Coby,price_enforcer,274,234.58,0.856131386861314,12
15,Evan,value_purist,184,171.57,0.932445652173913,12
15,James,anchor,297,94.7,0.3188552188552189,12
15,Jason,balanced,209,168.79,0.8076076555023923,12
15,Reid,stars_and_scrubs,260,238.37,0.9168076923076923,12
15,Ryan J,anchor,257,238.0,0.9260700389105059,12
15,Sam,positional_extremist_wr,223,214.0,0.9596412556053812,12
15,Shane,emotional,324,292.66,0.9032716049382716,12
15,Travis,balanced,264,251.84,0.953939393939394,12
16,Brad,positional_extremist_rb,281,127.41,0.45341637010676156,0
16,Brandon,positional_extremist_wr,184,167.41,0.9098369565217391,0
16,CJ,price_enforcer,264,153.04,0.5796969696969697,0
16,Coby,anchor,274,259.73,0.9479197080291971,0
16,Evan,tier_controller,184,175.0,0.9510869565217391,0
16,James,stars_and_scrubs,297,286.3,0.963973063973064,0
16,Jason,positional_extremist_rb,209,156.0,0.7464114832535885,0
16,Reid,anchor,260,139.52,0.5366153846153846,0
16,Ryan J,stars_and_scrubs,257,239.0,0.9299610894941635,0
16,Sam,positional_extremist_wr,223,209.41,0.9390582959641256,0
16,Shane,positional_extremist_rb,324,309.0,0.9537037037037037,0
16,Travis,stars_and_scrubs,264,60.56,0.2293939393939394,0
17,Brad,tier_controller,281,111.95,0.3983985765124555,0
17,Brandon,price_enforcer,184,168.0,0.9130434782608695,0
17,CJ,stars_and_scrubs,264,250.0,0.946969696969697,0
17,Coby,balanced,274,254.63,0.9293065693430657,0
17,Evan,positional_extremist_rb,184,144.94,0.7877173913043478,0
17,James,positional_extremist_wr,297,280.0,0.9427609427609428,0
17,Jason,tier_controller,209,200.0,0.9569377990430622,0
17,Reid,anchor,260,232.3,0.8934615384615385,0
17,Ryan J,stars_and_scrubs,257,235.52,0.916420233463035,0
17,Sam,balanced,223,85.94,0.3853811659192825,0
17,Shane,positional_extremist_rb,324,255.36,0.7881481481481482,0
17,Travis,anchor,264,189.0,0.7159090909090909,0
18,Brad,emotional,281,122.0,0.43416370106761565,0
18,Brandon,anchor,184,170.97,0.9291847826086956,0
18,CJ,balanced,264,249.0,0.9431818181818182,0
18,Coby,tier_controller,274,163.89,0.5981386861313868,0
18,Evan,price_enforcer,184,161.98,0.8803260869565217,0
18,James,value_purist,297,208.45,0.7018518518518518,0
18,Jason,anchor,209,165.11,0.79,0
18,Reid,stars_and_scrubs,260,251.0,0.9653846153846154,0
18,Ryan J,emotional,257,228.0,0.8871595330739299,0
18,Sam,emotional,223,185.47,0.8317040358744394,0
18,Shane,tier_controller,324,280.95,0.8671296296296296,0
18,Travis,positional_extremist_wr,264,211.93,0.8027651515151515,0
19,Brad,positional_extremist_wr,281,263.64,0.9382206405693949,0
19,Brandon,anchor,184,110.39,0.599945652173913,0
19,CJ,anchor,264,167.01,0.6326136363636363,0
19,Coby,emotional,274,260.08,0.9491970802919707,0
19,Evan,anchor,184,167.58,0.9107608695652175,0
19,James,value_purist,297,204.43,0.6883164983164983,0
19,Jason,price_enforcer,209,181.0,0.8660287081339713,0
19,Reid,stars_and_scrubs,260,220.69,0.8488076923076923,0
19,Ryan J,anchor,257,241.0,0.9377431906614786,0
19,Sam,value_purist,223,202.75,0.9091928251121076,0
19,Shane,stars_and_scrubs,324,289.0,0.8919753086419753,0
19,Travis,tier_controller,264,171.48,0.6495454545454545,0
20,Brad,emotional,281,71.69,0.2551245551601423,0
20,Brandon,value_purist,184,166.72,0.9060869565217391,0
20,CJ,value_purist,264,221.22,0.8379545454545454,0
20,Coby,positional_extremist_rb,274,51.78,0.18897810218978103,0
20,Evan,emotional,184,171.49,0.9320108695652174,0
20,James,balanced,297,281.12,0.9465319865319866,0
20,Jason,value_purist,209,132.89,0.6358373205741626,0
20,Reid,positional_extremist_rb,260,44.35,0.17057692307692307,0
20,Ryan J,value_purist,257,248.0,0.9649805447470817,0
20,Sam,anchor,223,191.12,0.8570403587443947,0
20,Shane,anchor,324,127.53,0.39361111111111113,0
20,Travis,stars_and_scrubs,264,7.83,0.02965909090909091,0
21,Brad,value_purist,281,266.0,0.9466192170818505,0
21,Brandon,price_enforcer,184,144.0,0.782608695652174,0
21,CJ,anchor,264,251.58,0.9529545454545455,0
21,Coby,positional_extremist_wr,274,246.06,0.8980291970802919,0
21,Evan,positional_extremist_rb,184,166.73,0.906141304347826,0
21,James,tier_controller,297,281.0,0.9461279461279462,0
21,Jason,anchor,209,190.0,0.9090909090909091,0
21,Reid,stars_and_scrubs,260,244.0,0.9384615384615385,0
