player,position,base_value,projected_points,points_is_real,auction_eligible,eligibility_reason
Josh Jacobs,RB,126.0,189.35,True,True,not a confirmed keeper or college-rights hold
Bucky Irving,RB,102.0,175.8,True,True,not a confirmed keeper or college-rights hold
Bhayshul Tuten,RB,95.0,160.4,True,True,not a confirmed keeper or college-rights hold
Jaylen Warren,RB,83.0,162.0,True,True,not a confirmed keeper or college-rights hold
Jonathon Brooks,RB,78.0,148.6,True,True,not a confirmed keeper or college-rights hold
Tony Pollard,RB,75.0,143.2,True,True,not a confirmed keeper or college-rights hold
Rashee Rice,WR,72.0,197.11,True,True,not a confirmed keeper or college-rights hold
DeVonta Smith,WR,71.0,189.84,True,True,not a confirmed keeper or college-rights hold
James Cook,RB,71.0,234.4,True,True,not a confirmed keeper or college-rights hold
RJ Harvey,RB,71.0,136.65,True,True,not a confirmed keeper or college-rights hold
Chuba Hubbard,RB,65.0,143.25,True,True,not a confirmed keeper or college-rights hold
Jaylen Waddle,WR,64.0,177.9,True,True,not a confirmed keeper or college-rights hold
Kenny Gainwell,RB,64.0,136.45,True,True,not a confirmed keeper or college-rights hold
Jordan Mason,RB,63.0,137.2,True,True,not a confirmed keeper or college-rights hold
Tee Higgins,WR,60.0,181.9,True,True,not a confirmed keeper or college-rights hold
Jacory Croskey-Merritt,RB,59.0,127.0,True,True,not a confirmed keeper or college-rights hold
Aaron Jones Sr,RB,59.0,131.55,True,True,not a confirmed keeper or college-rights hold
Rachaad White,RB,59.0,127.05,True,True,not a confirmed keeper or college-rights hold
Terry McLaurin,WR,57.0,173.93,True,True,not a confirmed keeper or college-rights hold
Davante Adams,WR,49.0,161.35,True,True,not a confirmed keeper or college-rights hold
DJ Moore,WR,48.0,154.17,True,True,not a confirmed keeper or college-rights hold
Deebo Samuel,WR,48.0,102.68,True,True,not a confirmed keeper or college-rights hold
Mike Evans,WR,45.0,164.95,True,True,not a confirmed keeper or college-rights hold
TJ Hockenson,TE,43.0,103.35,True,True,not a confirmed keeper or college-rights hold
