player,team,position,exclusion_reason,counts_as_keeper,keeper_cost,source
Jonathan Taylor,Brandon,RB,CONFIRMED_KEEPER,True,46.0,google_sheet:2026_Fancy_Football_League_Rosters
Justin Jefferson,Brandon,WR,CONFIRMED_KEEPER,True,46.0,google_sheet:2026_Fancy_Football_League_Rosters
Nico Collins,Brandon,WR,CONFIRMED_KEEPER,True,36.0,google_sheet:2026_Fancy_Football_League_Rosters
Breece Hall,Brandon,RB,CONFIRMED_KEEPER,True,31.0,google_sheet:2026_Fancy_Football_League_Rosters
Brock Bowers,Brandon,TE,CONFIRMED_KEEPER,True,16.0,google_sheet:2026_Fancy_Football_League_Rosters
Christian McCaffrey,Brandon,RB,CONFIRMED_KEEPER,True,46.0,google_sheet:2026_Fancy_Football_League_Rosters
Derrick Henry,Coby,RB,CONFIRMED_KEEPER,True,51.0,google_sheet:2026_Fancy_Football_League_Rosters
Kyren Williams,Coby,RB,CONFIRMED_KEEPER,True,31.0,google_sheet:2026_Fancy_Football_League_Rosters
Brian Thomas Jr,Coby,WR,CONFIRMED_KEEPER,True,16.0,google_sheet:2026_Fancy_Football_League_Rosters
Harold Fannin Jr,Coby,TE,CONFIRMED_KEEPER,True,6.0,google_sheet:2026_Fancy_Football_League_Rosters
TreVeyon Henderson,Coby,RB,CONFIRMED_KEEPER,True,11.0,google_sheet:2026_Fancy_Football_League_Rosters
Quinshon Judkins,Coby,RB,CONFIRMED_KEEPER,True,11.0,google_sheet:2026_Fancy_Football_League_Rosters
Alec Pierce,Brad,WR,CONFIRMED_KEEPER,True,11.0,google_sheet:2026_Fancy_Football_League_Rosters
Jaxon Smith-Njigba,Brad,WR,CONFIRMED_KEEPER,True,31.0,google_sheet:2026_Fancy_Football_League_Rosters
Jaydon Blue,Brad,RB,CONFIRMED_KEEPER,True,14.0,google_sheet:2026_Fancy_Football_League_Rosters
Jameson Williams,Brad,WR,CONFIRMED_KEEPER,True,41.0,google_sheet:2026_Fancy_Football_League_Rosters
Marvin Harrison Jr,Brad,WR,CONFIRMED_KEEPER,True,16.0,google_sheet:2026_Fancy_Football_League_Rosters
Tyler Warren,Brad,TE,CONFIRMED_KEEPER,True,6.0,google_sheet:2026_Fancy_Football_League_Rosters
Kyle Pitts Sr,Reid,TE,CONFIRMED_KEEPER,True,11.0,google_sheet:2026_Fancy_Football_League_Rosters
Tucker Kraft,Reid,TE,CONFIRMED_KEEPER,True,21.0,google_sheet:2026_Fancy_Football_League_Rosters
Drake Maye,Reid,QB,CONFIRMED_KEEPER,True,30.0,google_sheet:2026_Fancy_Football_League_Rosters
Chris Olave,Reid,WR,CONFIRMED_KEEPER,True,41.0,google_sheet:2026_Fancy_Football_League_Rosters
Jalen Coker,Reid,WR,CONFIRMED_KEEPER,True,13.0,google_sheet:2026_Fancy_Football_League_Rosters
Javonte Williams,Reid,RB,CONFIRMED_KEEPER,True,34.0,google_sheet:2026_Fancy_Football_League_Rosters
Amon-Ra St Brown,Evan,WR,CONFIRMED_KEEPER,True,41.0,google_sheet:2026_Fancy_Football_League_Rosters
Drake London,Evan,WR,CONFIRMED_KEEPER,True,36.0,google_sheet:2026_Fancy_Football_League_Rosters
Saquon Barkley,Evan,RB,CONFIRMED_KEEPER,True,46.0,google_sheet:2026_Fancy_Football_League_Rosters
George Pickens,Evan,WR,CONFIRMED_KEEPER,True,41.0,google_sheet:2026_Fancy_Football_League_Rosters
Puka Nacua,Evan,WR,CONFIRMED_KEEPER,True,31.0,google_sheet:2026_Fancy_Football_League_Rosters
Emeka Egbuka,Evan,WR,CONFIRMED_KEEPER,True,11.0,google_sheet:2026_Fancy_Football_League_Rosters
Garrett Wilson,Sam,WR,CONFIRMED_KEEPER,True,31.0,google_sheet:2026_Fancy_Football_League_Rosters
