seed,team,failure_type,reason,n_players,budget_remaining
0,Evan,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,0.0
1,Shane,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,45.94
2,Evan,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,11.97
3,Sam,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,0.0
3,Shane,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,0.0
3,Travis,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,0.62
4,Evan,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,0.0
4,Shane,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,0.0
5,Shane,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,0.0
6,Shane,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,44.83
8,Brad,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,6.24
9,Evan,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,15.14
10,Shane,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,28.6
11,CJ,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,37.03
11,Shane,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,6.15
12,Brandon,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,0.0
13,Evan,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,2.26
13,Shane,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,48.61
14,Brad,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,21.0
14,Coby,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,4.47
14,Shane,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,36.18
16,Evan,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,2.69
17,Sam,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,16.75
18,Brad,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,0.0
18,CJ,ILLEGAL_STARTING_LINEUP,MISSING_QB,15,20.8
18,Shane,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,3.32
19,Evan,ILLEGAL_STARTING_LINEUP,MISSING_TE,15,10.07
