pick,nomination_number,player,position,tier,nominating_team,nominator,winning_team,winner,sale_price,price,bidder_count,second_highest_bid,sale_is_organic,sale_has_competing_bid,forced_final_slot,budget_before,budget_after,slots_before,slots_after,minimum_reserve_after,winner_archetype,seed
1,1,James Cook,RB,2,Coby,Coby,James,James,257.0,257.0,12,256.0,True,True,False,297.0,40.0,9,8,8,stars_and_scrubs,0
2,2,Bhayshul Tuten,RB,1,CJ,CJ,CJ,CJ,256.0,256.0,12,255.01333333333332,True,True,False,264.0,8.0,9,8,8,positional_extremist_rb,0
3,3,Kenny Gainwell,RB,3,Travis,Travis,Travis,Travis,253.0,253.0,11,252.0,True,True,False,264.0,11.0,9,8,8,emotional,0
4,4,Josh Jacobs,RB,1,Ryan J,Ryan J,Reid,Reid,202.12,202.12,10,198.12,True,True,False,260.0,57.88,9,8,8,stars_and_scrubs,0
5,5,Bucky Irving,RB,1,Jason,Jason,Jason,Jason,157.46792028308204,157.46792028308204,10,152.46792028308204,True,True,False,209.0,51.53,9,8,8,stars_and_scrubs,0
6,6,Jeremiyah Love,RB,1,Brad,Brad,Evan,Evan,123.256,123.256,10,122.256,True,True,False,184.0,60.74,9,8,8,value_purist,0
7,7,DJ Moore,WR,2,Shane,Shane,Shane,Shane,176.73666383948895,176.73666383948895,10,175.73666383948895,True,True,False,324.0,147.26,9,8,8,positional_extremist_wr,0
8,8,Tee Higgins,WR,1,Evan,Evan,Brandon,Brandon,141.26,141.26,10,140.26,True,True,False,184.0,42.74,9,8,8,positional_extremist_wr,0
9,9,Jaylen Warren,RB,2,Sam,Sam,Coby,Coby,68.96222222222224,68.96222222222224,10,67.96222222222224,True,True,False,274.0,205.04,9,8,8,value_purist,0
10,10,Jordan Mason,RB,3,Reid,Reid,Ryan J,Ryan J,69.47589999999998,69.47589999999998,10,68.47589999999998,True,True,False,257.0,187.52,9,8,8,balanced,0
11,11,Jaylen Waddle,WR,1,James,James,Shane,Shane,74.75844444444445,74.75844444444445,10,73.75844444444445,True,True,False,147.26,72.5,8,7,7,positional_extremist_wr,0
12,12,RJ Harvey,RB,3,Brandon,Brandon,Brad,Brad,51.88,51.88,9,50.88,True,True,False,281.0,229.12,9,8,8,price_enforcer,0
13,13,DeVonta Smith,WR,1,Coby,Coby,Coby,Coby,53.88,53.88,10,52.88,True,True,False,205.04,151.16,8,7,7,value_purist,0
14,14,Jonathon Brooks,RB,2,CJ,CJ,Coby,Coby,53.88,53.88,10,52.88,True,True,False,151.16,97.28,7,6,6,value_purist,0
15,15,Tony Pollard,RB,2,Travis,Travis,Coby,Coby,54.74,54.74,11,53.74,True,True,False,97.28,42.54,6,5,5,value_purist,0
16,16,Rashee Rice,WR,1,Ryan J,Ryan J,Evan,Evan,51.88,51.88,10,50.88,True,True,False,60.74,8.86,8,7,7,value_purist,0
17,17,Chuba Hubbard,RB,3,Jason,Jason,Reid,Reid,49.471608888888895,49.471608888888895,8,48.471608888888895,True,True,False,57.88,8.41,8,7,7,stars_and_scrubs,0
18,18,Bill Croskey-Merritt,RB,4,Brad,Brad,Ryan J,Ryan J,49.0,49.0,8,48.0,True,True,False,187.52,138.52,8,7,7,balanced,0
19,19,Jacory Croskey-Merritt,RB,4,Shane,Shane,Brad,Brad,47.830000000000005,47.830000000000005,8,46.830000000000005,True,True,False,229.12,181.29,8,7,7,price_enforcer,0
20,20,TJ Hockenson,TE,1,Evan,Evan,Sam,Sam,45.0,45.0,9,44.0,True,True,False,223.0,178.0,9,8,8,price_enforcer,0
21,21,JK Dobbins,RB,5,Sam,Sam,Ryan J,Ryan J,38.27205315410435,38.27205315410435,8,37.27205315410435,True,True,False,138.52,100.25,7,6,6,balanced,0
22,22,Rachaad White,RB,4,Reid,Reid,Jason,Jason,39.54,39.54,9,38.54,True,True,False,51.53,11.99,8,7,7,stars_and_scrubs,0
23,23,Aaron Jones Sr,RB,4,James,James,Coby,Coby,38.506886666666674,38.506886666666674,8,37.506886666666674,True,True,False,42.54,4.03,5,4,4,value_purist,0
24,24,Jalen Hurts,QB,1,Brandon,Brandon,Sam,Sam,28.44990277777778,28.44990277777778,6,27.44990277777778,True,True,False,178.0,149.55,8,7,7,price_enforcer,0
25,25,Davante Adams,WR,2,Coby,Coby,Brad,Brad,36.0,36.0,8,35.0,True,True,False,181.29,145.29,7,6,6,price_enforcer,0
26,26,Deebo Samuel,WR,2,CJ,CJ,Brandon,Brandon,35.42743055555555,35.42743055555555,8,34.42743055555555,True,True,False,42.74,7.31,8,7,7,positional_extremist_wr,0
27,27,Terry McLaurin,WR,2,Travis,Travis,James,James,30.86,30.86,8,29.86,True,True,False,40.0,9.14,8,7,7,stars_and_scrubs,0
28,28,Josh Allen,QB,1,Ryan J,Ryan J,Sam,Sam,30.358650000000004,30.358650000000004,7,29.49387,True,True,False,149.55,119.19,7,6,6,price_enforcer,0
29,29,Zach Charbonnet,RB,5,Jason,Jason,Brad,Brad,25.14,25.14,7,24.14,True,True,False,145.29,120.15,6,5,5,price_enforcer,0
30,30,Nick Chubb,RB,5,Brad,Brad,Ryan J,Ryan J,25.203550000000003,25.203550000000003,6,24.203550000000003,True,True,False,100.25,75.05,6,5,5,balanced,0
31,31,Khalil Shakir,WR,5,Shane,Shane,Shane,Shane,24.86,24.86,5,23.86,True,True,False,72.5,47.64,7,6,6,positional_extremist_wr,0
32,32,DK Metcalf,WR,3,Evan,Evan,Brad,Brad,23.86,23.86,5,22.86,True,True,False,120.15,96.29,5,4,4,price_enforcer,0
33,33,Carnell Tate,WR,3,Sam,Sam,Sam,Sam,20.86,20.86,5,19.86,True,True,False,119.19,98.33,6,5,5,price_enforcer,0
34,34,Mike Evans,WR,3,Reid,Reid,Sam,Sam,19.502116666666666,19.502116666666666,7,19.097516666666667,True,True,False,98.33,78.83,5,4,4,price_enforcer,0
35,35,Courtland Sutton,WR,4,James,James,Ryan J,Ryan J,19.573304444444446,19.573304444444446,6,18.573304444444446,True,True,False,75.05,55.48,5,4,4,balanced,0
36,36,Tyler Allgeier,RB,6,Brandon,Brandon,Brad,Brad,15.86,15.86,6,14.86,True,True,False,96.29,80.43,4,3,3,price_enforcer,0
37,37,Joe Burrow,QB,1,Coby,Coby,Brad,Brad,15.764280000000003,15.764280000000003,6,14.86,True,True,False,80.43,64.67,3,2,2,price_enforcer,0
38,38,Austin Ekeler,RB,6,CJ,CJ,Sam,Sam,14.151842222222221,14.151842222222221,6,13.151842222222221,True,True,False,78.83,64.68,4,3,3,price_enforcer,0
39,39,Romeo Doubs,WR,5,Travis,Travis,Ryan J,Ryan J,13.574722222222222,13.574722222222222,6,12.574722222222222,True,True,False,55.48,41.91,4,3,3,balanced,0
40,40,Lamar Jackson,QB,1,Ryan J,Ryan J,Sam,Sam,12.52636,12.52636,5,11.855834999999999,True,True,False,64.68,52.15,3,2,2,price_enforcer,0
41,41,Travis Etienne,RB,5,Jason,Jason,Brad,Brad,11.059155555555556,11.059155555555556,6,10.059155555555556,True,True,False,64.67,53.61,2,1,1,price_enforcer,0
