seed,team,keeper_state_status,n_players,n_qb_rostered,legal_roster,has_duplicate_player,lineup_is_legal,lineup_failure_reason,starting_lineup_points,bench_option_value,total_roster_utility,raw_all_rostered_points,budget_remaining_unspent_cash
0,Brad,PARTIALLY_CONFIRMED,15,1,True,False,True,,1647.18,109.52,1756.7,2259.21,43.35
0,Brandon,PARTIALLY_CONFIRMED,15,2,True,False,True,,1899.44,93.01,1992.45,2498.71,0.0
0,CJ,PARTIALLY_CONFIRMED,15,3,True,False,True,,1586.55,60.3,1646.85,2125.41,0.0
0,Coby,PARTIALLY_CONFIRMED,15,1,True,False,True,,1400.79,90.38,1491.17,2067.29,0.0
0,Evan,PARTIALLY_CONFIRMED,15,1,True,False,False,MISSING_TE,0.0,0.0,0.0,2492.39,0.0
0,James,PARTIALLY_CONFIRMED,15,4,True,False,True,,1615.75,64.11,1679.86,2434.51,0.01
0,Jason,PARTIALLY_CONFIRMED,15,1,True,False,True,,1935.29,75.68,2010.97,2547.72,2.67
0,Reid,PARTIALLY_CONFIRMED,15,2,True,False,True,,1561.58,99.99,1661.57,2359.21,0.0
0,Ryan J,PARTIALLY_CONFIRMED,15,1,True,False,True,,2281.47,132.26,2413.73,3021.66,19.63
0,Sam,CONFIRMED,15,4,True,False,True,,1897.55,90.73,1988.28,3157.74,35.85
0,Shane,PARTIALLY_CONFIRMED,15,1,True,False,True,,1477.3,104.29,1581.59,2093.63,19.22
0,Travis,PARTIALLY_CONFIRMED,15,2,True,False,True,,1433.15,87.25,1520.4,1835.98,0.0
1,Brad,PARTIALLY_CONFIRMED,15,2,True,False,True,,1483.87,42.0,1525.87,1770.69,0.0
1,Brandon,PARTIALLY_CONFIRMED,15,1,True,False,True,,1862.06,87.35,1949.41,2307.82,0.0
1,CJ,PARTIALLY_CONFIRMED,15,2,True,False,True,,1675.7,75.97,1751.67,2112.37,0.0
1,Coby,PARTIALLY_CONFIRMED,15,2,True,False,True,,1614.29,76.44,1690.73,2026.04,0.0
1,Evan,PARTIALLY_CONFIRMED,15,2,True,False,True,,1907.84,126.84,2034.68,2687.45,3.55
1,James,PARTIALLY_CONFIRMED,15,2,True,False,True,,1601.67,143.93,1745.6,2469.32,21.64
1,Jason,PARTIALLY_CONFIRMED,15,1,True,False,True,,2303.37,140.82,2444.19,3177.26,30.54
1,Reid,PARTIALLY_CONFIRMED,15,1,True,False,True,,1500.79,89.18,1589.97,2017.86,0.0
1,Ryan J,PARTIALLY_CONFIRMED,15,2,True,False,True,,1630.71,53.8,1684.51,2274.6,0.0
1,Sam,CONFIRMED,15,4,True,False,True,,1617.54,106.53,1724.07,2618.61,0.0
1,Shane,PARTIALLY_CONFIRMED,15,2,True,False,False,MISSING_TE,0.0,0.0,0.0,3142.57,45.94
1,Travis,PARTIALLY_CONFIRMED,15,1,True,False,True,,1524.67,114.45,1639.12,2173.49,14.53
2,Brad,PARTIALLY_CONFIRMED,15,1,True,False,True,,1913.52,111.99,2025.51,2545.59,43.31
2,Brandon,PARTIALLY_CONFIRMED,15,4,True,False,True,,2030.83,103.98,2134.81,3018.94,0.0
2,CJ,PARTIALLY_CONFIRMED,15,2,True,False,True,,1701.48,83.68,1785.16,2383.56,0.01
2,Coby,PARTIALLY_CONFIRMED,15,1,True,False,True,,1415.27,126.95,1542.22,2071.68,0.0
2,Evan,PARTIALLY_CONFIRMED,15,0,True,False,False,MISSING_QB,0.0,0.0,0.0,2443.66,11.97
2,James,PARTIALLY_CONFIRMED,15,2,True,False,True,,2277.19,128.24,2405.43,3126.16,43.12
2,Jason,PARTIALLY_CONFIRMED,15,1,True,False,True,,1993.35,73.99,2067.34,2396.98,0.0
2,Reid,PARTIALLY_CONFIRMED,15,1,True,False,True,,1504.16,72.87,1577.03,1917.69,0.0
2,Ryan J,PARTIALLY_CONFIRMED,15,3,True,False,True,,1592.86,68.23,1661.09,2407.65,8.78
2,Sam,CONFIRMED,15,1,True,False,True,,1593.98,100.76,1694.74,2290.48,1.91
2,Shane,PARTIALLY_CONFIRMED,15,4,True,False,True,,1485.55,101.96,1587.51,2361.99,58.68
2,Travis,PARTIALLY_CONFIRMED,15,4,True,False,True,,1432.67,68.25,1500.92,2035.52,0.0
3,Brad,PARTIALLY_CONFIRMED,15,1,True,False,True,,1314.2,107.64,1421.84,2047.12,50.82
3,Brandon,PARTIALLY_CONFIRMED,15,1,True,False,True,,2008.14,109.04,2117.18,2599.72,3.16
3,CJ,PARTIALLY_CONFIRMED,15,1,True,False,True,,2180.27,112.18,2292.45,2754.63,19.26
