seed,team,n_players,n_qb,n_rb,n_wr,n_te,legal_roster,lineup_is_legal,lineup_failure_reason,budget_remaining,has_duplicate_player,keeper_sold_in_auction,enable_position_max
0,Brad,15,4,4,4,3,True,True,,227.59,False,False,True
0,Brandon,15,2,5,5,3,True,True,,126.48,False,False,True
0,CJ,15,1,8,4,2,True,True,,93.05,False,False,True
0,Coby,15,2,8,3,2,True,True,,201.63,False,False,True
0,Evan,15,4,3,7,1,True,True,,170.42,False,False,True
0,James,15,2,4,8,1,True,True,,284.22,False,False,True
0,Jason,15,2,5,6,2,True,True,,10.56,False,False,True
0,Reid,15,2,3,7,3,True,True,,169.02,False,False,True
0,Ryan J,15,1,8,5,1,True,True,,241.0,False,False,True
0,Sam,15,1,7,4,3,True,True,,168.09,False,False,True
0,Shane,15,1,6,6,2,True,True,,294.32,False,False,True
0,Travis,15,1,4,8,2,True,True,,133.2,False,False,True
1,Brad,15,1,6,6,2,True,True,,121.93,False,False,True
1,Brandon,15,2,7,4,2,True,True,,40.97,False,False,True
1,CJ,15,2,5,5,3,True,True,,252.21,False,False,True
1,Coby,15,2,8,2,3,True,True,,216.19,False,False,True
1,Evan,15,2,5,7,1,True,True,,169.61,False,False,True
1,James,15,2,4,8,1,True,True,,204.51,False,False,True
1,Jason,15,2,4,7,2,True,True,,102.59,False,False,True
1,Reid,15,1,7,5,2,True,True,,240.0,False,False,True
1,Ryan J,15,3,3,6,3,True,True,,243.15,False,False,True
1,Sam,15,2,6,4,3,True,True,,214.0,False,False,True
1,Shane,15,1,8,5,1,True,True,,224.07,False,False,True
1,Travis,15,2,5,6,2,True,True,,187.0,False,False,True
2,Brad,15,1,5,7,2,True,True,,87.52,False,False,True
2,Brandon,15,4,3,5,3,True,True,,159.41,False,False,True
2,CJ,15,3,4,6,2,True,True,,127.33,False,False,True
2,Coby,15,1,7,5,2,True,True,,250.79,False,False,True
2,Evan,15,2,6,6,1,True,True,,175.0,False,False,True
2,James,15,1,5,8,1,True,True,,166.31,False,False,True
2,Jason,15,1,8,4,2,True,True,,163.25,False,False,True
2,Reid,15,3,4,6,2,True,True,,247.95,False,False,True
2,Ryan J,15,3,4,5,3,True,True,,221.26,False,False,True
2,Sam,15,1,7,6,1,True,True,,100.11,False,False,True
2,Shane,15,1,8,4,2,True,True,,273.54,False,False,True
2,Travis,15,2,6,5,2,True,True,,81.71,False,False,True
3,Brad,15,2,3,7,3,True,True,,210.57,False,False,True
3,Brandon,15,2,7,5,1,True,True,,168.0,False,False,True
3,CJ,15,1,7,4,3,True,True,,241.2,False,False,True
3,Coby,15,2,8,3,2,True,True,,261.31,False,False,True
3,Evan,15,2,3,8,2,True,True,,167.74,False,False,True
3,James,15,2,6,6,1,True,True,,288.0,False,False,True
3,Jason,15,1,5,8,1,True,True,,186.13,False,False,True
3,Reid,15,1,7,5,2,True,True,,244.0,False,False,True
3,Ryan J,15,3,5,6,1,True,True,,243.78,False,False,True
3,Sam,15,1,9,4,1,True,True,,205.0,False,False,True
3,Shane,15,2,4,6,3,True,True,,303.33,False,False,True
3,Travis,15,2,5,6,2,True,True,,186.67,False,False,True
4,Brad,15,2,4,7,2,True,True,,266.0,False,False,True
4,Brandon,15,2,6,4,3,True,True,,123.43,False,False,True
4,CJ,15,2,4,7,2,True,True,,219.8,False,False,True
4,Coby,15,1,8,4,2,True,True,,265.0,False,False,True
4,Evan,15,1,6,7,1,True,True,,175.0,False,False,True
4,James,15,2,4,7,2,True,True,,243.0,False,False,True
4,Jason,15,1,7,4,3,True,True,,117.64,False,False,True
4,Reid,15,2,5,6,2,True,True,,239.0,False,False,True
4,Ryan J,15,1,7,6,1,True,True,,241.0,False,False,True
4,Sam,15,1,5,7,2,True,True,,166.0,False,False,True
4,Shane,15,4,5,5,1,True,True,,307.15,False,False,True
4,Travis,15,3,7,3,2,True,True,,236.55,False,False,True
5,Brad,15,2,5,7,1,True,True,,264.27,False,False,True
5,Brandon,15,3,6,3,3,True,True,,105.35,False,False,True
5,CJ,15,2,3,9,1,True,True,,57.12,False,False,True
5,Coby,15,3,7,3,2,True,True,,254.21,False,False,True
5,Evan,15,2,3,9,1,True,True,,175.0,False,False,True
5,James,15,2,5,7,1,True,True,,196.71,False,False,True
5,Jason,15,1,5,7,2,True,True,,27.35,False,False,True
5,Reid,15,1,9,3,2,True,True,,244.0,False,False,True
5,Ryan J,15,2,5,5,3,True,True,,225.18,False,False,True
5,Sam,15,2,5,5,3,True,True,,93.45,False,False,True
5,Shane,15,2,6,4,3,True,True,,310.0,False,False,True
5,Travis,15,1,8,5,1,True,True,,141.21,False,False,True
6,Brad,15,1,7,5,2,True,True,,38.8,False,False,True
6,Brandon,15,2,6,5,2,True,True,,14.76,False,False,True
6,CJ,15,3,7,4,1,True,True,,103.91,False,False,True
6,Coby,15,2,8,3,2,True,True,,250.23,False,False,True
6,Evan,15,3,4,7,1,True,True,,158.02,False,False,True
6,James,15,3,6,4,2,True,True,,272.34,False,False,True
6,Jason,15,1,4,8,2,True,True,,8.28,False,False,True
6,Reid,15,2,3,8,2,True,True,,74.41,False,False,True
6,Ryan J,15,2,6,4,3,True,True,,242.0,False,False,True
6,Sam,15,2,6,4,3,True,True,,171.38,False,False,True
6,Shane,15,3,5,6,1,True,True,,315.0,False,False,True
6,Travis,15,1,4,8,2,True,True,,19.87,False,False,True
7,Brad,15,2,6,5,2,True,True,,222.42,False,False,True
7,Brandon,15,1,4,7,3,True,True,,157.69,False,False,True
7,CJ,15,2,7,4,2,True,True,,240.91,False,False,True
7,Coby,15,2,7,5,1,True,True,,186.47,False,False,True
7,Evan,15,1,5,8,1,True,True,,122.4,False,False,True
7,James,15,2,4,8,1,True,True,,245.61,False,False,True
7,Jason,15,2,7,5,1,True,True,,146.0,False,False,True
7,Reid,15,3,4,5,3,True,True,,243.22,False,False,True
7,Ryan J,15,1,9,4,1,True,True,,241.0,False,False,True
7,Sam,15,1,7,6,1,True,True,,207.0,False,False,True
7,Shane,15,2,4,6,3,True,True,,311.0,False,False,True
7,Travis,15,3,5,4,3,True,True,,253.89,False,False,True
8,Brad,15,2,3,8,2,True,True,,264.18,False,False,True
8,Brandon,15,1,7,6,1,True,True,,165.88,False,False,True
8,CJ,15,3,6,3,3,True,True,,254.76,False,False,True
8,Coby,15,1,7,4,3,True,True,,251.0,False,False,True
8,Evan,15,1,6,7,1,True,True,,169.79,False,False,True
8,James,15,2,5,6,2,True,True,,283.12,False,False,True
8,Jason,15,2,5,6,2,True,True,,82.49,False,False,True
8,Reid,15,2,5,6,2,True,True,,179.05,False,False,True
8,Ryan J,15,1,8,5,1,True,True,,241.0,False,False,True
8,Sam,15,3,5,5,2,True,True,,174.31,False,False,True
8,Shane,15,2,6,6,1,True,True,,257.08,False,False,True
8,Travis,15,2,6,5,2,True,True,,122.97,False,False,True
9,Brad,15,2,3,7,3,True,True,,214.34,False,False,True
9,Brandon,15,1,9,4,1,True,True,,171.18,False,False,True
9,CJ,15,2,8,4,1,True,True,,153.87,False,False,True
9,Coby,15,2,7,5,1,True,True,,265.0,False,False,True
9,Evan,15,2,4,7,2,True,True,,167.55,False,False,True
9,James,15,1,8,5,1,True,True,,280.0,False,False,True
9,Jason,15,2,5,6,2,True,True,,93.47,False,False,True
9,Reid,15,2,3,8,2,True,True,,109.73,False,False,True
9,Ryan J,15,1,4,9,1,True,True,,38.0,False,False,True
9,Sam,15,2,6,4,3,True,True,,88.76,False,False,True
9,Shane,15,2,5,5,3,True,True,,233.33,False,False,True
9,Travis,15,2,6,5,2,True,True,,103.87,False,False,True
10,Brad,15,2,5,6,2,True,True,,47.14,False,False,True
10,Brandon,15,2,6,6,1,True,True,,115.33,False,False,True
10,CJ,15,2,6,6,1,True,True,,255.0,False,False,True
10,Coby,15,3,7,4,1,True,True,,131.64,False,False,True
10,Evan,15,2,3,7,3,True,True,,165.19,False,False,True
10,James,15,2,7,5,1,True,True,,279.0,False,False,True
10,Jason,15,1,7,5,2,True,True,,191.07,False,False,True
10,Reid,15,3,5,4,3,True,True,,228.32,False,False,True
10,Ryan J,15,3,4,7,1,True,True,,173.02,False,False,True
10,Sam,15,1,6,6,2,True,True,,94.69,False,False,True
10,Shane,15,1,6,6,2,True,True,,145.34,False,False,True
10,Travis,15,2,6,4,3,True,True,,206.03,False,False,True
11,Brad,15,2,7,5,1,True,True,,66.68,False,False,True
11,Brandon,15,2,4,7,2,True,True,,169.22,False,False,True
11,CJ,15,2,6,6,1,True,True,,133.28,False,False,True
11,Coby,15,2,7,5,1,True,True,,176.46,False,False,True
11,Evan,15,2,5,6,2,True,True,,175.0,False,False,True
11,James,15,1,5,6,3,True,True,,267.56,False,False,True
11,Jason,15,3,5,5,2,True,True,,187.16,False,False,True
11,Reid,15,2,6,4,3,True,True,,243.27,False,False,True
11,Ryan J,15,1,8,4,2,True,True,,40.03,False,False,True
11,Sam,15,2,5,5,3,True,True,,48.47,False,False,True
11,Shane,15,2,7,5,1,True,True,,196.27,False,False,True
11,Travis,15,2,4,8,1,True,True,,41.77,False,False,True
12,Brad,15,1,6,7,1,True,True,,218.0,False,False,True
12,Brandon,15,1,5,7,2,True,True,,148.17,False,False,True
12,CJ,15,3,5,6,1,True,True,,251.64,False,False,True
12,Coby,15,1,7,5,2,True,True,,118.07,False,False,True
12,Evan,15,2,5,7,1,True,True,,19.88,False,False,True
12,James,15,2,7,5,1,True,True,,201.41,False,False,True
12,Jason,15,3,3,7,2,True,True,,107.41,False,False,True
12,Reid,15,4,6,2,3,True,True,,245.98,False,False,True
12,Ryan J,15,3,7,3,2,True,True,,248.0,False,False,True
12,Sam,15,1,7,4,3,True,True,,169.52,False,False,True
12,Shane,15,1,7,5,2,True,True,,244.93,False,False,True
12,Travis,15,1,4,7,3,True,True,,244.62,False,False,True
