sample,team,candidate,price,greedy_starting_points,exact_starting_points,exact_status,absolute_error
0,Brad,Tank Dell,30.0,2058.38,1986.36,OPTIMAL,72.02000000000021
1,Brandon,Konata Mumpfield,5.0,2167.32,2155.31,OPTIMAL,12.010000000000218
2,CJ,Pat Bryant,1.0,2084.8,2068.06,OPTIMAL,16.740000000000236
3,Coby,Bill Croskey-Merritt,1.0,2009.97,1971.77,OPTIMAL,38.200000000000045
4,Evan,Mike Washington Jr.,60.0,2111.76,2074.2,OPTIMAL,37.5600000000004
5,James,Kalif Raymond,60.0,1947.45,1908.95,OPTIMAL,38.5
6,Jason,Carson Beck,30.0,1955.65,2218.79,OPTIMAL,263.1399999999999
7,Reid,Tua Tagovailoa,30.0,1953.91,1921.75,OPTIMAL,32.16000000000008
8,Ryan J,Shedeur Sanders,15.0,1883.16,1894.54,OPTIMAL,11.379999999999882
9,Sam,Cade Klubnik,60.0,1933.77,1814.78,OPTIMAL,118.99000000000001
10,Shane,De'Zhaun Stribling,60.0,1904.4,1885.92,OPTIMAL,18.480000000000018
11,Travis,Austin Hooper,1.0,1951.46,1932.84,OPTIMAL,18.62000000000012
12,Brad,Marcus Mariota,60.0,1746.71,1981.96,OPTIMAL,235.25
13,Brandon,British Brooks,1.0,2167.32,2155.31,OPTIMAL,12.010000000000218
14,CJ,Jaylin Noel,30.0,2084.8,2056.05,OPTIMAL,28.75
