season,team_id,team_name,n_veteran_keepers,n_college_rights_holds,keeper_spend,cash_adjustments,sheet_reported_remaining_budget,primary_auction_budget,conversions_scenario_auction_budget,budget_source,keeper_state_status,notes
2026,Brad,Brad,6,0,119.0,0,281,281,281,google_sheet_reported_budget_column,PARTIALLY_CONFIRMED,College-rights conversions scenario only defined for Sam (2 x $1)
2026,Brandon,Brandon,6,0,221.0,15,184,194,194,formula_reconciled_budgets_scenario_phase3a,PARTIALLY_CONFIRMED,College-rights conversions scenario only defined for Sam (2 x $1)
2026,CJ,CJ,6,0,136.0,0,264,264,264,google_sheet_reported_budget_column,PARTIALLY_CONFIRMED,College-rights conversions scenario only defined for Sam (2 x $1)
2026,Coby,Coby,6,0,126.0,0,274,274,274,google_sheet_reported_budget_column,PARTIALLY_CONFIRMED,College-rights conversions scenario only defined for Sam (2 x $1)
2026,Evan,Evan,6,0,206.0,0,184,194,194,formula_reconciled_budgets_scenario_phase3a,PARTIALLY_CONFIRMED,College-rights conversions scenario only defined for Sam (2 x $1)
2026,James,James,6,0,103.0,0,297,297,297,google_sheet_reported_budget_column,PARTIALLY_CONFIRMED,College-rights conversions scenario only defined for Sam (2 x $1)
2026,Jason,Jason,6,0,186.0,0,209,214,214,formula_reconciled_budgets_scenario_phase3a,PARTIALLY_CONFIRMED,College-rights conversions scenario only defined for Sam (2 x $1)
2026,Reid,Reid,6,0,150.0,0,260,250,250,formula_reconciled_budgets_scenario_phase3a,PARTIALLY_CONFIRMED,College-rights conversions scenario only defined for Sam (2 x $1)
2026,Ryan J,Ryan J,6,0,136.0,0,257,264,264,formula_reconciled_budgets_scenario_phase3a,PARTIALLY_CONFIRMED,College-rights conversions scenario only defined for Sam (2 x $1)
2026,Sam,Sam,6,2,162.0,-15,225,223,221,user_direct_statement,CONFIRMED,
2026,Shane,Shane,6,1,76.0,0,324,324,324,google_sheet_reported_budget_column,PARTIALLY_CONFIRMED,College-rights conversions scenario only defined for Sam (2 x $1)
2026,Travis,Travis,6,2,113.0,0,264,287,287,formula_reconciled_budgets_scenario_phase3a,PARTIALLY_CONFIRMED,College-rights conversions scenario only defined for Sam (2 x $1)
