seed,team,archetype,starting_auction_budget,players_needed,starter_slots_needed,bench_slots_needed,total_spend,unused_cash,number_of_bids,number_of_wins,number_of_blocked_bids,zero_utility_blocks,feasibility_blocks,budget_blocks,roster_cap_blocks,highest_price_paid,starter_spend,bench_spend,QB_spend,RB_spend,WR_spend,TE_spend
0,Brad,price_enforcer,281,9,9,6,226.34684219513457,54.66,266,9,0,0,0,0,0,48.740799909856065,243.44388775069012,101.90295444444445,14.18,175.94388775069012,23.613566666666667,12.609387777777776
0,Brandon,positional_extremist_wr,184,9,9,6,184.0,0.0,167,9,430,0,0,430,0,116.0,399.0,6.0,2.0,2.0,178.0,2.0
0,CJ,positional_extremist_rb,264,9,9,6,264.00111111111113,0.0,194,9,465,0,0,465,0,234.36111111111114,384.00111111111113,16.0,2.0,259.00111111111113,3.0,0.0
0,Coby,value_purist,274,9,9,6,273.9971111111111,0.0,221,9,134,0,0,134,0,61.0,240.4271111111111,159.57,9.19,218.01711111111112,46.79,0.0
0,Evan,value_purist,184,9,9,6,183.99286666666669,0.0,226,9,253,0,0,253,0,72.5398888888889,283.53988888888887,106.45297777777778,5.19,116.1372,61.66566666666667,1.0
0,James,stars_and_scrubs,297,9,9,6,292.1776,4.83,139,9,420,0,0,420,0,256.32,386.64222222222224,8.535377777777779,1.5358933333333333,262.1083733333333,1.211111111111111,27.322222222222223
0,Jason,stars_and_scrubs,209,9,9,6,208.99888888888887,0.0,264,9,346,0,0,346,0,177.0,387.9122222222222,7.086666666666667,2.9188888888888886,23.64,180.44,2.0
0,Reid,stars_and_scrubs,260,9,9,6,260.0,0.0,214,9,465,0,0,465,0,202.0,404.0,6.0,1.0,256.0,2.0,1.0
0,Ryan J,balanced,257,9,9,6,228.43129234798656,28.58,213,9,5,0,0,5,0,69.79463678576761,237.75817178576762,126.67312056221894,26.021366666666665,168.04585012576433,34.36407555555556,0.0
0,Sam,price_enforcer,223,9,9,6,172.38423333333336,50.61,189,9,33,0,0,33,0,47.52377777777778,252.9268088888889,81.45742444444446,1.0,11.0,158.12867777777777,2.2555555555555555
