team,reported_team_budget,formula_team_budget,gross_absolute_team_difference,signed_team_difference,status
Brad,281.0,281.0,0.0,0.0,RESOLVED
Brandon,184.0,194.0,10.0,-10.0,UNRESOLVED_GAP
CJ,264.0,264.0,0.0,0.0,RESOLVED
Coby,274.0,274.0,0.0,0.0,RESOLVED
Evan,184.0,194.0,10.0,-10.0,UNRESOLVED_GAP
James,297.0,297.0,0.0,0.0,RESOLVED
Jason,209.0,214.0,5.0,-5.0,UNRESOLVED_GAP
Reid,260.0,250.0,10.0,10.0,UNRESOLVED_GAP
Ryan J,257.0,264.0,7.0,-7.0,UNRESOLVED_GAP
Sam,225.0,223.0,2.0,2.0,EXPLAINED_OVERRIDE
Shane,324.0,324.0,0.0,0.0,RESOLVED
Travis,264.0,287.0,23.0,-23.0,UNRESOLVED_GAP
LEAGUE_TOTAL_ALL_12_TEAMS,,,67.0,-43.0,SUMMARY
LEAGUE_TOTAL_UNRESOLVED_GAP_TEAMS_ONLY,,,65.0,-45.0,SUMMARY
