rank_by_points,player,position,projected_points,rank_by_vbd,player_vbd,position_vbd,VBD_score
1,Josh Allen,QB,328.82,1,Jahmyr Gibbs,RB,227.71000000000004
2,Jalen Hurts,QB,297.46,2,Bijan Robinson,RB,226.56
3,Jahmyr Gibbs,RB,296.35,3,Christian McCaffrey,RB,196.71000000000004
4,Drake Maye,QB,296.32,4,Jonathan Taylor,RB,187.71000000000004
5,Bijan Robinson,RB,295.2,5,De'Von Achane,RB,173.56
6,Jayden Daniels,QB,293.28,6,James Cook III,RB,165.76
7,Lamar Jackson,QB,289.92,7,Ja'Marr Chase,WR,160.40999999999997
8,Joe Burrow,QB,282.7,8,Derrick Henry,RB,158.76
9,Dak Prescott,QB,278.54,9,Chase Brown,RB,158.61
10,Jaxson Dart,QB,273.12,10,Saquon Barkley,RB,154.16000000000003
11,Trevor Lawrence,QB,272.04,11,Puka Nacua,WR,150.95
12,Caleb Williams,QB,271.0,12,Kenneth Walker III,RB,149.01
13,Ja'Marr Chase,WR,266.33,13,Jaxon Smith-Njigba,WR,147.86
14,Christian McCaffrey,RB,265.35,14,Amon-Ra St. Brown,WR,141.3
15,Justin Herbert,QB,263.56,15,Omarion Hampton,RB,137.01
16,Bo Nix,QB,262.52,16,Jeremiyah Love,RB,133.76
17,Jared Goff,QB,261.71,17,Breece Hall,RB,132.86
18,Tyler Shough,QB,258.88,18,Ashton Jeanty,RB,130.76
19,Puka Nacua,WR,256.87,19,Javonte Williams,RB,128.26
20,Jordan Love,QB,256.74,20,Kyren Williams,RB,127.55999999999999
21,Jonathan Taylor,RB,256.35,21,Travis Etienne Jr.,RB,121.76
22,Brock Purdy,QB,256.32,22,Josh Jacobs,RB,120.71
23,Kyler Murray,QB,255.34,23,CeeDee Lamb,WR,118.36
24,Patrick Mahomes,QB,254.26,24,Cam Skattebo,RB,117.76
25,Malik Willis,QB,253.88,25,Drake London,WR,115.38000000000001
26,Jaxon Smith-Njigba,WR,253.78,26,Justin Jefferson,WR,115.26
27,Matthew Stafford,QB,250.22,27,D'Andre Swift,RB,111.51
28,Amon-Ra St. Brown,WR,247.22,28,Quinshon Judkins,RB,109.16000000000001
29,C.J. Stroud,QB,245.14,29,Nico Collins,WR,108.58999999999999
30,Baker Mayfield,QB,243.4,30,David Montgomery,RB,107.86
