scenario,RB_flex_slots,WR_flex_slots,TE_flex_slots,RB_share,WR_share,TE_share,hardcoded_config_RB,hardcoded_config_WR,hardcoded_config_TE,n_observations
primary_after_keepers,285,364,71,0.3958,0.5056,0.0986,0.45,0.45,0.1,720
by_team_Brad,1,54,5,0.0167,0.9,0.0833,0.45,0.45,0.1,60
by_team_Brandon,38,20,2,0.6333,0.3333,0.0333,0.45,0.45,0.1,60
by_team_CJ,29,18,13,0.4833,0.3,0.2167,0.45,0.45,0.1,60
by_team_Coby,58,2,0,0.9667,0.0333,0.0,0.45,0.45,0.1,60
by_team_Evan,0,60,0,0.0,1.0,0.0,0.45,0.45,0.1,60
by_team_James,14,43,3,0.2333,0.7167,0.05,0.45,0.45,0.1,60
by_team_Jason,19,35,6,0.3167,0.5833,0.1,0.45,0.45,0.1,60
by_team_Reid,17,17,26,0.2833,0.2833,0.4333,0.45,0.45,0.1,60
by_team_Ryan J,35,24,1,0.5833,0.4,0.0167,0.45,0.45,0.1,60
by_team_Sam,41,16,3,0.6833,0.2667,0.05,0.45,0.45,0.1,60
by_team_Shane,23,34,3,0.3833,0.5667,0.05,0.45,0.45,0.1,60
by_team_Travis,10,41,9,0.1667,0.6833,0.15,0.45,0.45,0.1,60
low_projection_scenario,285,364,71,0.3958,0.5056,0.0986,0.45,0.45,0.1,720
high_projection_scenario,285,364,71,0.3958,0.5056,0.0986,0.45,0.45,0.1,720
before_keepers_virtual_snake_allocation,7,19,7,0.2121,0.5758,0.2121,0.45,0.45,0.1,33
