player,position,nfl_team,auction_eligible,public_rank,public_tier,base_value,fallback_source,fallback_points,fallback_confidence,classification,identity_issue,expected_draft_probability_HEURISTIC
Zach Charbonnet,RB,SEA,True,147,9,36.0,"mock_draft.points.points_for (position-specific ratio, capped)",242.2,"LOW (imputed, no real projection)",RELEVANT_AUCTION_TARGET,False,0.9
AJ Dillon,RB,CAR,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Kevin Coleman Jr.,WR,MIA,True,377,14,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Will Kacmarek,TE,MIA,True,463,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Jonnu Smith,TE,GB,True,452,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Kyle Juszczyk,RB,SF,True,384,14,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Theo Wease Jr.,WR,LAC,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Dyami Brown,WR,WAS,True,428,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Jacob Saylors,RB,DET,True,485,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
John Bates,TE,WAS,True,421,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Jeremy Ruckert,TE,NYJ,True,508,16,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
