method,position,replacement_rank,replacement_points,vbd_mean,vbd_median,position_value_share,top_12_share,top_24_share
A_FIXED_RANK_LEGACY,QB,14,253.9,6.03,0.0,0.0416,0.3405,0.5394
A_FIXED_RANK_LEGACY,RB,55,26.2,41.89,12.71,0.5702,0.3405,0.5394
A_FIXED_RANK_LEGACY,WR,55,61.3,20.23,0.0,0.3275,0.3405,0.5394
A_FIXED_RANK_LEGACY,TE,18,82.8,6.99,0.0,0.0607,0.3405,0.5394
B_DEMAND_DERIVED,QB,9,261.7,4.32,0.0,0.0477,0.448,0.6747
B_DEMAND_DERIVED,RB,35,54.7,27.87,0.0,0.6323,0.448,0.6747
B_DEMAND_DERIVED,WR,32,88.4,10.75,0.0,0.2914,0.448,0.6747
B_DEMAND_DERIVED,TE,9,111.5,1.22,0.0,0.0286,0.448,0.6747
C_OPTIMIZATION_DERIVED,QB,12,255.3,5.65,0.0,0.052,0.3692,0.5608
C_OPTIMIZATION_DERIVED,RB,29,68.8,22.71,0.0,0.4441,0.3692,0.5608
C_OPTIMIZATION_DERIVED,WR,47,69.7,16.73,0.0,0.3875,0.3692,0.5608
C_OPTIMIZATION_DERIVED,TE,20,71.5,10.3,0.0,0.1164,0.3692,0.5608
